Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam
ACTIVITIES,"<p>¡Hola! Como estas?<br></p><p>Durante el verano mi familia y yo normalmente vistamos mi abuelos en New Hampshire. Tambien mi primos y tios visitan nuestra casa en New Hampshire. En la noche nos hacimos el s'mores y comemos por al fuego. Pero durante el verano de 2021^ mi familia y yo fuimos a Florida para el fin de escuela. En Florida nos visitamos a Walt Disney World y  nos subimos a las atraciones. Para muchos veranos mi amigos y yo jugamos un video juego y hablar para mucho del dia. A veces voy a la casa de mia amigos y hablo con mis amigos para muchos horas. En mis casa tengo muchos tareas de la casa^ por ejemplo yo corto el césped para mi padre. Las tareas afueras son muy dificil en el calor^ y no me gusta el actividades. Mi amigos hacen deportes durante el verano^ pero yo no tengo un deporte tipico. Mi deporte es boxeo^ y yo practico solomente. En el fin del verano^ yo preparo para escuela y comprar el sobres necesitas. ¡Espero que puedas escribir muy pronto!<br></p><p>-Brendan</p>",A2,3749095,61,N4796361,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I4,,3888,,,,Traditional classroom,Foreign Language,2021-08-03
CELEBRATIONS,"<p>¡Hola!</p><p>Me gusta Navidad. Yo no tengo clases^ y puedo ver mis primas y tios que viven en otras ciudades. En enero en mi ciudad^ no hay nieva. En las ciudades de mis primas^ tienen nieva^ y a mi me gusta la nieva. Navidad es un tiempo para celebrar^ y me gusta los arbóles de navidad y los luzes de navidad. Son muy bonitas. Tambien me gusta la comida. Me gusta cocinando la comida con mi familia y me gusta comiendo la comida^ que es muy rico durante navidad. Finalmente^ me gusta los regalos. Puedo regalo a mi familia regalos que ellos les gustan. Tambien voy a tener regalos de mi familia^ y me gusta obtener nuevas cosas. <br></p><p>¡Adios!</p>",B1,3749464,53,H4797914,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,I5,,3400,,,,Private tutoring,Other,2021-08-03
CELEBRATIONS,"<p>Hola (amigo)^</p><p>me gusta muchos celebraciones^ pero unos o mis favoritos es cumpliaños fiestas. Ese tiene muchos actividades^ comen delicioso^ y regalos (;D).</p><p>Adios^</p><p>Jessica</p><p>(p.s. ¿Y que es tu favorito celebracion de Buenos Aires?)</p>",B1,3749460,53,P4797910,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,N4,I-MM,3534,,,,Private tutoring,Other,2021-08-03
COMMUNITY_SERVICE,"<p>En mi escuela^ los estudiantes tienen muchos actividades para el communidad. El actividad mas grande es limpiar el parque. Muchos estudaintes van a afuera y limpian todos de la basura en el parque. El actividad es muy beneficio para el parque y la naturaleza. En inviero niños y estudiantes ayuda las personas de la pueblo y palan de nieve. Palar de nieve es muy dificil con mucho nieve. Un poco estudiantes reciben dinero para sus trabjos en la nieve. Todo del año estudiantes y sus familias triagan comida a un banco de alimentos^ y ayuda personas con nada comida. Personas van a un supermercado y comprar comida para la cbanco de alimentos. Mi familia traigan comida muy frecuencia. </p>",A2,3749095,61,N4796361,"Your Spanish club is preparing information to post on the club’s website for your sister school in Peru. The students in Peru want to know about service projects that students are doing.  Write a post for the website describing the volunteer or community service activities that you or your classmates are doing. Describe the activities with lots of details. Give as much information as you can. ",I,1,I4,I-MF,3888,,,,Traditional classroom,Foreign Language,2021-08-03
EDUCATION,"<p>Hola^</p><p>mi maestra (?) es importante con yo porque ella es muy intelligente y explicame muchos con ellas estudiantes. Una semana yo no escuchar mucho^ y final de classe^ ella explicar un timpo mas con mio^ porque yo estan (¡aarrg! ¿porque [¿que es |grammer?|] estoy muy duro?) confudad^ y yo no estan confudad mas.</p><p>-Jessica^ estudiante de [maestra]</p>",B1,3749460,53,P4797910,"Your favorite teacher is being interviewed for a teaching job in Mexico. As part of the application process^ the selection committee needs a letter in Spanish from a student that describes what the teacher is like.   Write a letter to the selection committee. Write two well-developed^ organized paragraphs in which you:   	Explain what makes your teacher so great and why he or she is important to you. 	Describe a memorable experience you had with your teacher. Give a lot of details about what took place and how this particular moment made such an impression on you. Tell the whole story from beginning to end.  ",A,1,N4,A-NE,3534,,,,Private tutoring,Other,2021-08-03
EDUCATION,"<p>Hola^ mi maesta^ Mrs. Caruso^ es una maestra muy energetica y ayudante. El clase de Mrs. Caruso siempre es interesante. Un dia^ mi clase hacieron un arból de papel para practicar matematicas. Todo el clase le encantaron los arbóles de papel. Tambien me gusta ella porque tiene differentes tipas de sillas y una sofá en el cuarto. Pudimos sentamos donde nos quieremos. </p><p>Mrs. Caruso es una amiga afuera de mi escuela. Mrs. Caruso^ yo^ y mis amigas nos gusta ir a los cuartos donde nececitan encontrar la puerta. Nosotros hicimos un cuarto como eso con una pelota. Ella estaba muy ayudante cuando nosotros hacemos las problemas. Mrs. Caruso dijo que nececitamos ver la ventana para encontrar la puerta^ porque hay una problema matematica en la vantana. Ella es una buena maestra adentro y afuera de la escuela. </p>",B1,3749464,53,H4797914,"Your favorite teacher is being interviewed for a teaching job in Mexico. As part of the application process^ the selection committee needs a letter in Spanish from a student that describes what the teacher is like.   Write a letter to the selection committee. Write two well-developed^ organized paragraphs in which you:   	Explain what makes your teacher so great and why he or she is important to you. 	Describe a memorable experience you had with your teacher. Give a lot of details about what took place and how this particular moment made such an impression on you. Tell the whole story from beginning to end.  ",A,1,I5,A-SE,3400,,,,Private tutoring,Other,2021-08-03
ENTERTAINMENT,"<p>¡Hola!<br></p><p>En el Estados Unidos^ muchos personas miran videos en YouTube^ o un otro aplicacion de el movil. Por ejemplo Netflix es un otro lugarmuy popular para peliculas y programas. Muchos jovenes usan el aplicaciones mientras que personas mayores miran programs en un televisión. Hoy^ personas hay muchos mas opiciones porque el popularidad de aplicaciones. Disney+ y Apple+ son muy nueva pero estar muy popular con todos personas.Yo miro muchos programs y peliculas en Disney+ y Netflix^ pero otros personas tienen otros aplicaciones. Más jovenes y niños miran YouTube^ y muchos diferentes videos. Tambien muchos personas son muy similar con tu^ porque muchos personas en YouTube ven videos de gattos. Un poco personas ven programs en un televisón^ y mas son personas mayores. Muchos de la gente son en linea para programas y peliculas. ¡Dame muchos videos de gattos cuando tu recibir mi mensajes!</p><p>-Brendan</p>",A2,3749095,61,N4796361,"Your penpal from Venezuela wrote you a letter about watching funny videos of cats on her phone. She wants to know what people like to watch where you live.  Write back to your penpal. Tell her about what people like to watch where you live. Give as much information about their viewing habits as possible. ",N,1,I4,,3888,,,,Traditional classroom,Foreign Language,2021-08-03
FAMOUS PERSON,"<p>A mi me gusta Martin Luther King Jr. El ayudó a Africanos Americanos durante un tiempo cuando personas como Martin no pudó entrar tipos de tiendas. Tambien fue muy difical para encontrar una buena casa por Africanos Americanos. El dijo que el es importante y nececitó una vida como la de las personas que no fue Africanos Americanos. En Washington D.C.^ el dijo palabras muy famosos^ y ganó mas por toda las personas. <br></p><p>Los Africanos Americanos no tienen las mismas opportunidades de otras personas hoy^ pero Martin Luther King Jr. fue una persona importante en ganando mas opportunidades para personas de todo nacionalidades. Yo aprendó de Martin Luther King Jr. que yo puedo ayudar a muchas personas. </p>",B1,3749464,53,H4797914,"Your Spanish class has a blog on which you and your classmates post about different topics. Your teacher has asked you to write a post about a famous person from the past that you admire or find interesting.  Think of a famous person from the past. Write two well-developed and organized paragraphs in which you:   	Describe the famous person. Who was the famous person^ and how did this person become famous? 	Explain why you admire or find this person interesting. What can you learn from this famous person?  ",A,1,I5,A-MM,3400,,,,Private tutoring,Other,2021-08-03
FAMOUS PERSON,"<p>George Washington es un persona muy famosa. El es el primera presidente de USA^ y el estan general en el [war against] el British^ y te gano el [war]. El es el resonaje (?) ustedes son un ['free country']^ y estan muy gracias a eso.</p><p>Muchos personajes peinsan el british gano^ pero Washington continua y usar el's intelligence (?) (no lo se el noun por eso) para gana los battales (?) uno a el tiempo^ y finalmente ganaste el ['war']. Esta es muy ['inspiring']^ y estan el resonaje (?) yo picar George Washington para esta ['post'].</p><p>(lo siento a la mal ['grammer']^ y muchos ingles palabras porque no lo le el palabra)</p>",B1,3749460,53,P4797910,"Your Spanish class has a blog on which you and your classmates post about different topics. Your teacher has asked you to write a post about a famous person from the past that you admire or find interesting.  Think of a famous person from the past. Write two well-developed and organized paragraphs in which you:   	Describe the famous person. Who was the famous person^ and how did this person become famous? 	Explain why you admire or find this person interesting. What can you learn from this famous person?  ",A,1,N4,A-NE,3534,,,,Private tutoring,Other,2021-08-03
INSTRUCTIONS,"<p>Hola (amigo)^</p><p>¡yo nessesita cocinar un comen con Cuba a mi classe de español! ¿Que comé es tu favorito? ¡Por favor^ ayudame! ¿Que es el ingridiantes (?)? ...Tambien nessesitan [¿que es 'know' en español?] porque es importante to tu's historia.</p><p>Gracias^</p><p>Jessica<br></p>",B1,3749460,53,P4797910,"You have to make a traditional food or meal from Cuba for a project in your Spanish class. You decide to ask your penpal for help.  Write an email to your penpal in which you ask him many questions to learn how to prepare a dish and why it is important in his culture. ",I,1,N4,I-SE,3534,,,,Private tutoring,Other,2021-08-03
