Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam
ACTIVITIES,"<p>Hola! En los Estados Unidos^ nosotros hacemos mucho en el verano. Los estudiantes relajan y juegan con los amigos. Yo y mi amigos jugamos videojuegos en la noche. Yo camino afuera con mis perros. Mi amigo pesca en el río. </p>",A2,3661303,16,J4685475,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N4,,4141,,,,Traditional classroom,Foreign Language,2021-05-20
ACTIVITIES,"<p>yo y amigos en jugue videojugoes y futbol americano </p>",A2,3661311,7,E4685483,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N3,N-MF,3888,,,,Traditional classroom,Foreign Language,2021-05-20
ACTIVITIES,"<p>Nosotros^ jugamos los videojuegoes^ corremos^ exploramos^ jugamos biesbol y fútbol Americano.</p>",A2,3661331,10,C4685503,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N4,,4294,,,,Traditional classroom,Foreign Language,2021-05-20
ACTIVITIES,"<p>hola^ yo vivo en greensburg. En mi casa^ yo juego los video juegos y practicar hockey. mi amigos y yo como pan. si pan. yo me mucho gusta pan. adios</p>",A2,3661363,6,K4685535,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N3,N-MF,3282,,,,Traditional classroom,Foreign Language,2021-05-20
ACTIVITIES,"<p>Los estudiantes jugan los deportes.</p>",A2,3661375,9,Q4685547,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N3,N-MF,331,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>Yo me llamo Marlen y yo ha estado en la ciudad de Nueva York toda mi vida. Aunque no he visto cada calle o cada museo en Nueva York yo les aseguro que hay arte en todas partes de nuestras calles^ pero para ser especifica yo me enfocare en hablar sobre le arte en Brooklyn.  Primeramente creo que es decente que mencione las obras de arte mas grande- muros. Muchos de estos maravillosos muros tienen un mensaje y se refieren a alguna cultura. Creciendo^ yo^ en un vecidario hispanicoablanta y teniendo muchas personas con differentes culturas hispanas y origens de Latino America y Puerto Rico^ he visto muchos muros que tienen referencia a el sueno americano o la belleza de las culturas hispanas- en la misma manera^ estas son cosas que me formaron a la persona que son ahora. Tambien hay otra forma de arte en las calles- el grafiti. El grafiti es illegal en los Estados Unidos pero no podemos mentionar arte sin el grafiti en Nueva York porque es connectado con la historia y la integridad cultural de la ciudad de Nueva York. Por años la ciudad estaba marcado por crimen y pobreza^ y es provado que anonde hay mas pobreza hay mas crimen^ enotnces naturalmente los pobres utilizaron el grafiti como manera de expresarse. Hoy sigue una forma de exprecion^ como otro arte.</p><p>Adiccionalmente hay muchas hobras de arte en museos como- the Childrens Museum y Brooklyn Museum. No hay ignorando las gran pituras que vienen a estos lugares a differnetes tiempos del año para ser en exebicion. Cuando yo fui a el Brooklyn Museum hace dos años yo vi una exebicion de Frida Kahlo y fue maravilloso ver mi cultura y la fusion de las ideas de Kahlo en las pinturas. </p><p>Sobre todo^ a mi me gusta mas las obras de arte en la calle porque aun que no estan en una exebicion las aprecio por los valores y ideas que yo he cagado conmigo toda mi vida y me recureda de donde vengo- de culturas de Latino America^ de Nueva York y los Estados Unidos.</p><p>Espero que podramos ver estos lugares juntos cuando vengan. </p><p>¡Hasta Pronto!</p>",B2,3596805,94,R4613391,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,A,,105,,,,AP,Heritage Language,2021-05-20
ART,"<p>Aqui en esta cuidad no hay muchas partes donde puedes ver el arte. Pero en las escuelas hay muchos tipos de arte. Hay arte de los estudiantes^ maestros y en cada escuela tienen un animal que representa su escuela. Una escuela tiene un leon^ agila y estan pintadas en la pared de enfrente de la escuela y adentro de las escuelas y unas escuelas ni tienen un animal^ mejor tienen un tipo de persona. La prepa de la cuidad no tiene un animal^ mejor tiene una persona que se llama caveman. En las escuelas tambien tienen palabras que estan pintadas en las paredes. Y cada palabra esta pintada de diferente colores. A mi el tipo de arte que perferio son esculpturas porque tienen un tipo de historia del pasado. </p>",B2,3588913,20248,Q4604983,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,3389,,,,Heritage learner,Heritage Language,2021-05-20
ART,"<p style=|text-align: left;|>El arte de Nuevo Mexico    05/10/2021</p><p>Aqui en Nuevo Mexico estamos orgullosos de decír que nuestro arte se basa mucho en la cultura Mexicana. Muchos de los cuadros y murales de aqui furon hechos con la comunidad latina en mente para que se sientan queridos y apreciados por los nuevo mexicanos^ muchos de nuestros artistas mas famosos son personas que vinieron de mexico y quisieron expresar sus sentimientos atraves de su arte^ pero eso no es todo^ tambien estamos orgulosos de decir que apreciamos mucho el arte de nuestros vecinos los Nativo Americanos! sus artes y sus creencias estan en todo el alrededor de nuevo mexico^ y mucha de nustra architectura esta basade en la de ellos y su arte. </p><p style=|text-align: left;|><br></p><p style=|text-align: left;|> -Jocelyn Velez  <br><br></p><p style=|text-align: left;|><br></p><p style=|text-align: right;|><br></p>",B2,3588956,43,J4605035,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,I-MF,4456,,,,Bilingual education,First Language,2021-05-20
ART,"<p>Hola estudiantes^ </p><p>En mi comunidad^ arte es muy importante. Arte es en la escuela y la cuidad. En escuela la arte de estudeiantes es en la clase de arte. En la cuidad arte de profesionales es en museo. Me gusta arte con mucho colores. Mi arte favorito es la Mona Lisa. ¿Que es tu arte favorito y porque? </p>",B2,3594875,61,D4611422,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I1,I-MM,3888,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>Si tú visitaís el grande ciudad de Toronto^ expectas visitar el país que es numero uno del mundo en mucho tipos de arte.</p><p>Toronto tiene tres museos de arte moderna y veinte museos de arte hístoria. Por razónes muy obvioso^ no puedo escribir un listo de cada de los museos^ pero^ estos están mí favoritas:</p><p>Primer^ el Toronto-Toledo Museo de arte historía. Este museo existe por los personas ricas^ pero^ tú no necesitas mucho dinero usar la puerta en la espalda. El museo tiene tres estatuas legitimas (no son replicas) de la primer emperador de roma.</p><p>Segundo^ el Museo de arte moderna de Bella. Este museo no tengas estatuas con historia significa^ pero ellos tienen siete estatuas moderna similare a Atlas que eres muy simbolica de el clase de trabajadores; las personas de el ciudad muy le gustan trabajadores y socialismo.</p><p>Si tú no puedas conocer de que yo escribo en los paragrafias pasados^ mí favorito tipo de arte es estatuas; prefiero estatuas de historía^ pero^ las estatuas modernas eres bueno^ tambien.</p><p>¿Cual es tú tipo de arte preferido? Dime en la area de chalar; ¡adíos!</p>",B2,3594903,30,K4611449,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I2,I-MF,3354,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>En mi pueblo^ todo personas mira arte en el parque porque tiene estatuas. Estatutas todas es differentes^ un poco baja y un poco larga. La estatuas es personas^ hombres^ mujeres^ y niños. El color de la estatuas es gris. </p><p>En mi esucula^ la arte es en la atrium. La escuela tiene mas pinturas. Las pinturas tiene mas colors. Estudiantes pinatan los animales^ los celebridades^ los flores^ la natura^ y mas. Todo de pueblo mira arte en la esucela durante |noche de arte| </p><p>Yo prefiero es pinturas y dibujas de flores porque es muy bonita y tiene la color rosa y verde.  Mi ortra favorita arte es pequeno estatuas porque es 3-D y es único.</p>",B2,3522598,53,H4530211,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I3,I-MF,3354,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>ho hay mucho arte en mi ciudad pero se que hay un lugar en un lugar llamado willimantic que se lamma karry's. el tipo de arte que hay allí se cambie creo por el mes o cabo dos meses pero en mi opinion el arte no siempre es bueno. a mi me prefiere el arte que puedes buscar por los calles. a un punto tenian muchos buenos pinturas en unas paredes por willimantic pero creo que muchos ya no estan. yo si se que hay una buena en un edeficio rojo que esta al lad de un restaurante en willimantic llamado stonerow y tambien hay arte bueno adentro.  </p>",B2,3522602,44,D4530215,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,A,,3947,,,,Traditional classroom,Heritage Language,2021-05-20
ART,"<p>Mi pueblo no tiene muchos lugares donde puede ver el arte^ pero los lugares que lo tienen son magnificos. Aquí en mi pueblo tenemos un exibición de una mujer con disabilidades developmentes. Ella se hace la mayoría los dibujos de flores y otras plantas. Esta hacídos de pinta y con colores muy vibrantes. Ella estaba pintando para decadas y su arte es en casi cada lugar del pueblo. Es muy famoso aquí y muchas personas ha comprado sus pinturas. </p><p>Otras artistas aquí hacen murales en edificios viejos y nuevos. Ellos hacen pinturas de eventos historicos y figuras importantes del pueblos. Ellos estan mis artistas más favoritas. A mi me gusta ellos porque su arte no cuesta nada para ver. Los dueños de los edificios pagan a ellos para pintar^ pero el publico puede apreciar a ellos sin pagar. Sus pinturas también informa el publico de eventos importantes del pasado y tienen un cuento sin palabras. </p>",B2,3522606,39,Z4530219,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,3282,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>En este escuela de Nueva Milford en el estado de Connecticut^ hay diferentes lugares para ver arte en muchas diferentes formas. Para arte de pintar^ hay muséos donde personas mirar a pintas y leer el información sobre las pintas. Para la arte de danza^ hay muchas escuelas de bailar en el pueblo. Yo soy una bailarina^ y voy a una escuela en este pueblo. Hay muchas exhibiciones para ver este forma de arte. También^ hay muchas programas de música en los escuelas de Connecticut. Hay muchas diferentes instrumentos para tocar y no costa dinero. <br></p><p>A mi me gusta las formas de arte de bailar y tocar música. Yo toque la flauta en la banda de mi escuela y bailo a una escuela en este pueblo. Es muy buena para ver y los miembros de la communidad tienen mucho admiración para mirar arte. Para mi^ las pintas son muy bonita pero no es mi numero uno. Arte de pintar es muy difícil para comprender. Es un poco aburrido en mi opinión.</p><p>Buena suerte a los estudiantes de Madrid. Nosotros somos muy estáticos para el viaje de ustedes.</p>",B2,3604772,23,K4622032,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,I-MF,4341,,,,AP,Foreign Language,2021-05-20
ART,"<p>Donde puedes ir para ver un poco de arte es el capitolio O ir al centro porque hay mucha arte bonita. a mi no me gusta la arte pero donde yo vivo hay todas las differente artes que tu puedes pencar. </p>",B2,3516961,45,F4524039,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I1,I-MM,3768,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>¡Hola! En Utah no hay tanto museos de arte tan cerca de mi escuela. Pero ha ido a un museo de arte en Springville. Podemos manejar hasta Springville y ir al museo. Seria 45 minutos en coche. En este museo hay diferentes typos de arte. Hay cosas pintados en uno parte del museo y esculturas en otro parte. Prefiero los esculturas porque puede ver uno forme de arte en mucho diferentes maneras. Me gusta el perspectivo de esta forme de arte. Pero^ no me gusta todas esculturas porque hay tanto esculturas desnudas.<br></p>",B2,3516981,36,R4524060,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,I-MF,3907,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>La arte es una cosa qúe toma much paciencia y talento. En mi cuidad yo no se de muchos lugares qúe se puede ir para ver arte de la gente. Pero yo creo que si voy para el centro yo podria encontra muchos lugares  para very muchos diferentes tipos de arte. Yo no tego un tipo o estilo favorito de arte porque no se mucho de esas consas pero si me gustaria aprender mas. </p>",B2,3516938,50,Q4524016,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,3768,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>En mi esculea^ miras la arte en la classe de arte. La classes de arte es muy grande y esta muchas cosas en el cuarto. En el cuarto^ mi gusta las sculpturas. Las sculpturas esta grande y pequeno. Me gusta las scalpturas porque las scalpturas esta colors differente tambian. Todos muy differente. las estudiantes tienes hagas las sculpturas estabmuy intelligente. </p>",B2,3609829,29,D4627377,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I3,I-SE,4566,,,,Traditional classroom,Unknown,2021-05-20
ART,"<p>Puedes veer arte en muchos lugares acera aquí. Todas escuelas tiene programas de arte donde puedes veer bonita arte de su estudiantes. Tambíen^ en la cuidad de Nueva York^ son muchos museos con tipos diferente de arte. La cuidad de Nueva York es solo 45 minutos de mi esuela y yo recomiendo que visitados los museos en la cuidad. A mi escuela muchos de mis amigos toman clases de artes para 1-4 años. Ellos les gustan su clases de artes mucho y siempre hablan lo sobre. Para mi^ yo prefiero todos tipos de artes. </p>",B2,3612774,37,B4630431,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,3977,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>¡Hola mis amigos!<br></p><p>En mi comunidad están más arte de locales. En mi pueblo arte es muy importante y divertida. Puedes ver este arte en los parques más. En los paredes de edificios el arte es bonita. En mi escuela arte es en el jardÍn y gimnasio. Caminas ir al cine y centro comerical y veas murales. Personalmente^ prefiero el parque. Puedes ver artistas hacer el arte y es muy fascinante. </p><p>¡Adios!</p><p>-Stella </p>",B2,3612802,25,U4630459,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I2,I-MM,3907,,,,Traditional classroom,Foreign Language,2021-05-20
ART,"<p>que la pase bien y espero verte para conocerte </p>",B2,3653950,13,P4676980,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,Below N4,I-NE,331,,,,Traditional classroom,First Language,2021-05-20
