Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage
ANIMALS,"",A1,3749587,1,T4799087,"Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ",I,1,N3,I-NE,3389,,,,Traditional classroom,Foreign Language
CAREERS,"<p>quando yo cresca qiero ser un ingeniero de la Nasa porque a mi me gusta mucho el espacio i me gusta ayudar i inventar cosas^ i me da la ilosion de conother planetas differents que despues podrian ayudarnos en muchas formas. i desarroyar robots^ coetes i rovers para ayudar a los astronautas.</p>",B1,3749860,54,F4800179,"Your pen pal from Mexico wants to know what you want to do when you grow up. She sent you an email about how she loves school^ loves helping people^ and wants to teach Spanish.  Write an email to your pen pal describing your dream job. Explain to her why you want to do this job. Be as specific as you can. ",I,1,I4,,4294,,,,Traditional Classroom,Unknown
CAREERS,"<p>Yo quero ser un diplomatico como mi papa y abuelo. Quiero visitar muchos pieses y tener mas amigos. Yo quiero ir a Japon^ España y londres.</p>",B1,3749864,23,G4800183,"Your pen pal from Mexico wants to know what you want to do when you grow up. She sent you an email about how she loves school^ loves helping people^ and wants to teach Spanish.  Write an email to your pen pal describing your dream job. Explain to her why you want to do this job. Be as specific as you can. ",I,1,I1,I-MM,3947,,,,Traditional Classroom,Unknown
CAREERS,"<p>Hola amiga^</p><p>yYa que empizo la escuela te quiero esplicar cual es mi trabajo soniado. Yo de mayor qiuero ser una actriz^ eso es porque me encanta como puedes  </p><p>actucar en una istoria que no es real^ y como puedes aser llorar y reir a las personas. Y aprender espanhol y ingles me puede aydar a ser actriz en muchos paises. Y por esa me gustaria tener clases de acutacian en la escuela para que pueda aprender y tener acuaciones en el colejio.</p><p><br></p>",B1,3749932,28,Y4800251,"Your pen pal from Mexico wants to know what you want to do when you grow up. She sent you an email about how she loves school^ loves helping people^ and wants to teach Spanish.  Write an email to your pen pal describing your dream job. Explain to her why you want to do this job. Be as specific as you can. ",I,1,I4,,3389,,,,Traditional Classroom,Unknown
CAREERS,"<p>Hola!</p><p>Yo quiero trabajar con la policia para hacer ciencias forensicas. Yo quiero ese trabajo porque pienso que es muy interesante como encuentran a los criminales^ y como usan la technologia para hacerlo. A mi tambien me gusta ayudar a las personas^ entonces ese trabajo seria perfecto para mi. </p><p>Saludos^<br></p><p>Lucci</p>",B1,3749944,33,D4800263,"Your pen pal from Mexico wants to know what you want to do when you grow up. She sent you an email about how she loves school^ loves helping people^ and wants to teach Spanish.  Write an email to your pen pal describing your dream job. Explain to her why you want to do this job. Be as specific as you can. ",I,1,I5,,4294,,,,Traditional Classroom,Unknown
CITY_TOWN,"",A1,3749587,1,T4799087,"A teacher from Guadalajara will be visiting your school. He will be in town for only 3 days. He wants to visit interesting places in your town.   Write an email to the teacher^ including appropriate greeting and closing to your message. Provide information about things to do in different^ popular places in your town.  ",N,1,N3,N-NE,3389,,,,Traditional classroom,Foreign Language
COMMUNICATION,"",A1,3749587,1,T4799087,"A new Spanish exchange student is nervous about giving his first oral presentation in class next week. He wants to know about student presentations  in your school.  Write him an email telling him about the different types of presentations students make in class and what they are like.",I,1,N3,I-NE,3389,,,,Traditional classroom,Foreign Language
DIRECTIONS,"<p>para cogher libros de la bibloteca tienes que regestrarte con la bibloteqaria despues tienes que cogher el libro que qieras despues vas al escritorio principal registra los libros i te puedes ir pero acuerda te que tienes que devolverlos livros en dos semanas si no tienes que pagar 1 peso al os dias que no los devolves.</p>",B1,3749860,54,F4800179,"You are emailing an exchange student from Costa Rica who is new to your school. This student loves to read and wants to know how to borrow books from a library.  Write an email in which you explain how to check out books from a library. Be as specific as you can and include details and instructions that will help the new exchange student check out books and use the library. ",I,1,I4,,4294,,,,Traditional Classroom,Unknown
DIRECTIONS,"<p>Pimero tendras que rejistraste en el website del colejio para tener una cuenta rejistado en la libroteca. Despues tendras que traer tu tarjecta de identficacion de la esuela para que te pueden comprovar que eres nuevo y que no sabes como manejar la compudadora de la escuela para cojer libros. Despues de que saques el libro tendras unos dias limitados para lertelo. Si no te daria tiempo para lertelo la primera vez puedes renovarlo. Puedes sacar 4 libros a la vez.</p>",B1,3749932,28,Y4800251,"You are emailing an exchange student from Costa Rica who is new to your school. This student loves to read and wants to know how to borrow books from a library.  Write an email in which you explain how to check out books from a library. Be as specific as you can and include details and instructions that will help the new exchange student check out books and use the library. ",I,1,I4,,3389,,,,Traditional Classroom,Unknown
DIRECTIONS,"<p>Quando escojiste un libro que te gustas nesasitas ir al bibliotecario y dicr ''yo quiero este libro pero nesecitas devolvelr lo. </p>",B1,3749864,23,G4800183,"You are emailing an exchange student from Costa Rica who is new to your school. This student loves to read and wants to know how to borrow books from a library.  Write an email in which you explain how to check out books from a library. Be as specific as you can and include details and instructions that will help the new exchange student check out books and use the library. ",I,1,I1,I-MM,3947,,,,Traditional Classroom,Unknown
