Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam
CLUBS,"<p>A principal de escuela^ </p><p>Los estudiantes de este escuela en ocho grado quieren comenzar unos clubes. Quieren un clube de futbol^ porque ellos quieren practicar futbol en la escuela. Ellos quieren comenzar un clube futbol de niños y un clube de niñas. Los estudiantes quieren dos clubes de futbol porque ellos quieren niñas jugar niñas y niños jugar niños. </p><p>Estos clubes son en la escuela de Boston^ y hay resultos bien. En la escuela de Boston^ el clube tiene viente estudiantes. Los estudiantes son activos^ y ellos son corren muchos. La escuela jugaron siete partidos. Los estudiantes son muy feliz con el clube!</p><p>Gracias^ </p><p>Madison</p>",B2,3747129,39,L4789029,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,I2,A-NE,3282,,,,Traditional classroom,Foreign Language,2021-07-06
COMMUNICATIONS,"<p>Los adultos y los adolescentes hablan muy diferente. Los adolescentes hablan usan su celulares telephonos^ no muchos adultos hablan usan telephonos. Los adolescentes tambÍen hablan solo personas no diferente años o grados. Adultos hablan personas viejos y jueven. </p>",B2,3747129,39,L4789029,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,I2,A-NE,3282,,,,Traditional classroom,Foreign Language,2021-07-06
DAILY_SCHEDULE_ROUTINE,"<p>Hola^ Amigo!</p><p>En mi clase de estudios sociales^ nosotros aprendemos del dia para personas en diferentes lugares. Yo tengo preguntas para ti. </p><p>En españa^ cuando te levantas y sales para escuela? Qué deportes jugas? Cuál tiempo tienes en la escuala? Cuál clases tienes? Qué clases tienes? Cuál practicas tus deportes?</p><p>Gracias^</p><p>Madison</p>",B2,3747129,39,L4789029,"You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.  Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly. ",I,1,I2,I-MM,3282,,,,Traditional classroom,Foreign Language,2021-07-06
ART,"<p>Hola chicos! </p><p>Bienvenidos a nuestro blog! Será mi placer compartirles esta información sobre el arte en nuestra comunidad. El arte cumple un rol importante aqui en Oaxaca^ y nuestros artistas trabajan en muchos medios diferentes. Las galerías aqui estan llenas de obras magníficas^ las que muestran una diversidad de estilos asombrosos. Tenemos una buena mezcla de museos; por ejemplo^ el museo del arte Indigena está ubicado justo al lado del museo de arte contemporaneo. Y además^ nuestro famoso Museo de Textiles está en la esquina de la misma Calle! </p><p>Se puede ver que La Ciudad de Oaxaca tiene una riqueza cultural amplia y profunda. Para esta entrada^ quisiera darles otra perspectiva. Hoy^ los llevaré conmigo para echar un vistazo a nuestro arte callejero: Graffiti. Quizas te has dado cuenta de que no hay ni una pared en la ciudad que no ha sido tocado por la mano de uno de nuestros artístas de la calle. Estas estrellas anonimas dan color^ imaginación y sentimiento a nuestra ciudad con sus mensajes poderosos. México es un pais de Mestizos^ en donde la gente siempre han sido luchando contra opresión y colonizacion. Oaxaquenos en particular siempre estaran orgullosos de la historia indigena y su herencia cultural. Es verdad que hay mucha pobreza y tristeza aqui^ debido a la colonización. Los Españoles tenían la costumbre de construir capillas y iglesias directamente encima de las ruinas de templos indígenos. Este símbolo de dominio es oscuro y evidente^ pero no significa que la pelea contra la opresión haya terminado. Las paredes de Santo Domingo en el centro están completamente cubiertas por murales increíbles^ las que cuentan una historia de supervivéncia y coraje. Los imágenes y la explosión de colores nos recuerdan que el alma indígeno sigue con vida. <br></p>",B2,3691248,8225,Y4718403,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,A,,3282,,,,Two-way immersion,Heritage Language,2021-07-06
ART,"<p>El arté de este cuidad es muy interesante! Nosotros tenemos muchos museos de arte^ y hay muy barato. Tambíen tenemos muchos clases de arte en el universidad de Dover.  Yo no sabo que tipos de museos de arte tienes en Madrid^ pero nosotros tenemos muchos arte moderno. </p><p>Me prefiero arte moderno^ pero yo creo que es muy interesante y bonito. Tenemos tres museos de arte moderno aqui. Los museos son cerca de la escuela y mi casa. Me encanto!</p>",B2,3747129,39,L4789029,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I2,I-MM,3282,,,,Traditional classroom,Foreign Language,2021-07-06
POP_CULTURE,"<p>Hola^</p><p>Como estas? Algo popular en mi escuela es un |pop it|. Es muy bonito y es muy bien!</p><p>Chau!</p><p>Rafaela Liebowitz</p>",A1,3747136,27,D4789074,"Your pen pal from Barcelona wrote you a letter and describes the toy^ |Fidget Spinner^| that is very popular in her school at the moment. It is very distracting^ but everyone loves it. She asked you to tell her about something that is very popular in your school or community right now.  Write an email in Spanish to your pen pal and describe something that is very popular in your school or community at the moment. Describe it with as much detail as you can and explain why you think it is so popular. ",I,1,N3,I-SE,3400,,,,Private tutoring,Heritage Language,2021-07-06
CLUBS,"<p>Buenas Tárdes Director Hernandez^ </p><p>Me dirigo a usted para informarle sobre mis planes para empezar un nuevo club. Estoy seguro de que el club va a llevar muchos beneficios a sus miembros^ y que será un recurso para la escuela entera. Quisiera establacer un grupo de cocina. Sería abierto para todos los estudiantes en la escuela^ y nos reuniríamos cada viernes después de periodo 6. Como jovenes de la nueva generación^ valoramos nuestra libertad sobre todo^ pero ironicamente nos falta seguridad en la cocina. Si pudieramos aprender como disfrutar de estar en la cocina^ podríamos acustumbrarnos a ser independente y ahorraríamos un montón de dinero. La cocina nos enseñaremos como ser adultos^ y nos ayudarémos a avanzar adelante en el proceso de maduréz. </p><p>Los impactos positivos para la escuela serían numerosos. Investigaciónes varias nos enseñan que estudiantes con pasiones son mas felices^ y actuan mejor en el salón de clase. Esta forma de educación serviría en proveer una nueva dimension para los alumnos. Relacionado con esto es el hecho de que vivímos en un mundo globalizado^ así que nuestros estudiantes tienen que aprender como ser ciudádonos del mundo. Sensibilidad a culturas diversas es una característica indispensable para las empresas de hoy en día. Me cuesta trabajo pensar en una mejor manera de enseñarles esto a nuestros estudiantes. Podemos crear una plataforma a la vez divertida e util para todos los estudiantes aquí. Y al fin y al cabo^ a pesar de todos los beneficios de la globalizacion no hay duda de que la industrialización haya cambiado la manera en que consumimos comida. Si^ es verdad que mas gente hoy tiene aceso a comida^ pero la comida chatarra y las cadenas nos han robado de algo porque la coneción que existe entre personas sentadas alrededor de la mesa ya está disminuyendo. Si pudieramos transmitir un amor por la cocina a nuestros alumnos^ podríamos enseñarles como disfrutar y vivir mas saludablamentes^ como seres humanos.  </p><p>Espero que tenga un excelente día^ Director Hernandez. </p><p>Sinceramente^ </p><p>Edmundo</p>",B2,3691248,8225,Y4718403,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,A,A-MF,3282,,,,Two-way immersion,Heritage Language,2021-07-06
COMMUNICATIONS,"<p>Las maneras en que los adultos y los adolescentes se comunican son completamente distintas. Siempre ha existido una diferencia grande entre personas de genaraciónes diferentes^ pero los redes sociales han amplificado la distancia. La manera en que este fenomeno se manifesta en Los Estados Unídos es muy evidente^ pero no cabe duda que lo mismo está pasando alrededor del mundo. Por ejemplo^ mis amigos en España siempre me dicen sobre sus conflictos y malentidos con sus padres. A veces siento que cada persona de mi generación está viviendo la misma vida debido a los redes sociales. Porque todos estamos apegados a nuestros teléfonos todos los días. Creemos que nuestros iPhones nos dejan ser individuos en nuestros propios mundos^ pero la verdad es que nos estan homogenizando. Ya me acustumbro a comunicarme con mis amigos durante el día^ pero aunque la comunicación nunca para a veces me siento mas aislado que nunca. Mi Papa simpre me dice que me estoy convirtiendo en un esclavo de la pantalla^ y le respondo burlandome de él. Pero tal vez tiene razon. Las personas de la generación de mis padres realmente conectan con sus seres queridos e incluso con desconocidos. Me cuesta comprender como ellos pueden hablar tanto con personas que ni siquiera conocen! Ellos hablan por telefono sin parar^ y ya me cansé de sus llamadas constantes. Y además^ me irrita que esten tan orgullosos de su |estilo de comunicacion mejor.| Pero despues de reflexionar^ tengo que admitir que algo está funcionando con lo que hacen. </p><p>Por ejemplo^ mi Padre creyo una estructura para asegurar que siempre estamos comunicandonos. Cada viernes antes de ir a la escuela^ él me obliga a ir a un restaurante consigo para que podamos desayunar y beber cafe juntos. El me cuenta sobre las noticias en el periodico^ y después^ me pregunta sobre como todo va en la escuela. Me chocaban sus preguntas raras e directas^ y siempre me sentía aliviado cuando todo terminaría. Pero ahora que tengo tiempo para pensar^ aprecio sus metodos. Algunas veces mi red de apoyo me falla porque no puedo interactuar con mis amigos de una manera tan directa^ y me estoy dando cuenta que lo que valora oro en una relación es la honestidad. Mi Papa tiene mucha sabiduria^ la cual me abruma a veces^ pero a lo largo de mi crescimiento estoy aprendiendo como ver mi Padre mas como un recurso e un adulto que me ama. Los métodos de nuestros padres pueden ser frustrantes^ pero sé que es algo que necesitamos.  </p>",B2,3691248,8225,Y4718403,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,A,A-MF,3282,,,,Two-way immersion,Heritage Language,2021-07-06
DAILY_SCHEDULE_ROUTINE,"<p>Hóla Fernando^ ¿Cómo estás? </p><p>¡Te extraño mucho! Estamos haciendo un proyecto en mi clase de história mundíal sobre las diferencias en horarios de adolescentes alrededor del mundo^ y me hizo pensar en una conversacion que tuvimos. Nuestra conversacÍon era corta pero la recuerdo como si fuera ayer^ y espero que puedas ayudarme profundizarme mas. ¿Te importarías si te hiciera mas preguntas acerca de este tema? </p><p>¿Cuanto tiempo gastas en hacer tu tarea cada noche? Me dijiste que muchas personas consideran estudiantes de España como flojos^ pero que ese es nada mas que un estereotípo. Hablando de estereotípos^ el resto del mundo nos consideran muy trabajadores en Los Estados Unidos^ pero la verdad es que yo termino toda mi tarea antes de la campaña. Tenemos seis clases cada dia^ pero odio cada asignatura aparte de mi clase de ingles. Me encanta mi maestra^ y me pone feliz que solo tenga esa clase después del almuerzo; se hace todo mejor! Cuantos periodos tienes tu? Y cuales clases te gustan y por qué? </p><p>En Los Estados Unidos^ tenemos que involucrarnos en muchas actividades extraescolares para sobresalir. Nuestros deportes^ clubes^ y actividades forman una gran parte de como las universidades nos evaluan. A pesar de que no soy una estrella en el salon de clase^ paso mucho tiempo cada semana jugando basquetbol y fútbol^ y asisto una clase de SAT cada viernes. Mi meta de entrar a UC Berkeley me motiva^ y el que las calificaciónes no son todos me deja mostrarles a las universidades mis habilidades. ¿Y tú?  ¿Juegas deportes^ o eres un miembro de algún club? </p><p><br></p>",B2,3691248,8225,Y4718403,"You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.  Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly. ",I,1,A,,3282,,,,Two-way immersion,Heritage Language,2021-07-06
FAMILY,"<p>íHola Val^ </p><p>¿Cómo has estado? Hace rato que no nos comunicamos^ estuve emocionado al recibir tu correo electrónico! Espero que todo vaya bien con tu maestría? La última vez que hablamos^ me dijiste que estabas teniendo dudas con la direccion de tus estudios. Y cómo va todo con el negocio de tus padres? Ya que se han jubilado^ imagino que están dedicando un montón de tiempo y energía al restaurante. </p><p>Hablando de familia^ gracias por la linda pregunta! De hecho^ tu familia me recuerda a una familia Estado Unidense! Le digo eso porque sé que tu familia es muy trabajadora. En Los Estados Unidos^ estamos muy ocupados con nuestro trabajo. Me da pena que muchas familias no dediquen mas tiempo para hacer actividades como familia^ pero es lo que hay. Cenamos juntos^ pero usalmente estamos tan enfocados en nuestros propios mundos que casi olvidamos conversar! Después de la cena^ soliamos sentarnos frente al tele para ver algun programa por un rato. Pero la falta de conversación y connecion era evidente. Mi familia representa los problemas enfrentando la familia Americana clásica. </p><p>Pero deberÍa ser mas optimista también. Muchas famÍlias aquÍ les fascinan los deportes. Cuando el fin de semana llegue^ veemos muchos partidos de deportes por la tele. Hay mucha variadad! Me encánta que podamos ver concursos varios^ dependiendo de la temporada. Por ejemplo^ ayer fue la campeonata del NBA. Antes del partido jugué baloncesto con mi familia en el parque. A pesar de que no tenemos muchas oportunidades para conectarnos durante la semana^ la conexión entre jugadores en un partido es instantanea y evidente. No creo que esto sea una exageracion; nuestro vínculo^ nuestro tejido familiar fue construido por el amor de los deportes! </p><p>Me siento fenomenal que por fin nos podamos comunicar! Estoy esperando tu respuesta^ cuéntame sobre tu familia y el |proyecto!| Necesito todos los detalles! </p><p><br></p><p>Sinceramente^ </p><p>Edmundo </p>",B2,3691248,8225,Y4718403,"Your penpal from Spain wrote you an email. She wants to know more about family life in your country.  Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family. ",I,1,A,,3282,,,,Two-way immersion,Heritage Language,2021-07-06
