Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam
ART,"<p>Hola comapañeros nuevos^ aqui en Carolina de Norte van a encontrar arte magnifico y diferent de que lo que verán en Madrid. Pueden encontrar arte en el Museo de Arte^ que está muy serca de la escuela. Yo prefiero el arte de acrilico porque es muy coloroso. Cuando entran en el museo^ verán mucho arte de acrilico.</p>",B2,3749591,33,T4799103,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,3534,,,,Other,Unknown,2021-08-02
CLUBS,"<p>Hola Señor^ </p><p>He notado que en la escuela^ hay muchos estudiantes que quieren empezar un club de ajedrez. El club de ajedrez empiezará a las 3:30^ déspues de la escuela. Los estudiantes reunerán en la biblioteca para tener máximo concentración. La escuela ofrecerán las fichas y las materiales^ si es posible. Hay apróximamente 20 estudiantes que quieren participar. Queremos empezar un club como este porque hay muchas personas que nececitan recuperarse déspues de un día largo^ antes de regresar a sus casas. </p><p>Este club será buena para la escuela porque el ajedrez puede ayudar con la memoria y concentración. Además^ ayuda con planeando y organización. Los miembres de este club podrán jugar con otras escuelas^ y tal vez ganar un título! Uno de los estudiantes que quiere participar sabe jugar^ así que podría ser maestro. </p><p>Ojalá usted le guste la idea! Muchas gracias^ Sofía.<br></p>",B2,3749591,33,T4799103,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,I5,A-MM,3534,,,,Other,Unknown,2021-08-02
COMMUNICATIONS,"<p>Donde vivo^ los adultos y los adolecentes comunican en una anera muy diferente. Los adultos quieren que los adolecenetes hacen cosas sin esplicarles; pero los adolecentes quieren un razón para todo. A veces cuando estan hablado por telefono^ algien cuelga antes que la otra persona dice su opinion. Esto puede afectar los dos grupos porque se anojan con el otro y empiezan a pelear. </p><p>Un ejemplo que tengo pasó el año pasado con mi mamá y yo. Mi mamá me llamó por telefono y estaba enojada porque no limpié mi cuarto antes que irme. Pero como estaba enojada^ y no queria hablar con ella y poné defensiva. Esto no es bueno para el comunicación^ porque ahora no queremos escuchar a la otra persona. </p>",B2,3749591,33,T4799103,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,I5,A-SE,3534,,,,Other,Unknown,2021-08-02
DAILY_SCHEDULE_ROUTINE,"<p>Hola amigo^ tengo un projecto para mi clase de estudios sociales y nececito tu ayuda. Mi projecto trata de las diferiencias entre los horarios de los adolecentes. Tengo algunas preguntas. Primero^ que haces cada semana en general? Cuales son las cosas que haces cada día o semanal? Como es tu horario de escuala? A que hora empieza tus clases y cuando termina? Que haces despues de la escuela? Muchas gracias^ Sofía. </p>",B2,3749591,33,T4799103,"You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.  Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly. ",I,1,I5,,3534,,,,Other,Unknown,2021-08-02
FAMILY,"<p>En los Estados Unidos^ pasamos tiempo con nuestra familia en muchas maneras diferetes. Mi familia es muy unida^ así que jugamos juegos juntos^ tocamos instrumentos mientras cantamos^ comemos y cocinamos juntos. Creo que otras familias en los Estados Unidos comen juntos tambien. </p>",B2,3749591,33,T4799103,"Your penpal from Spain wrote you an email. She wants to know more about family life in your country.  Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family. ",I,1,I5,,3534,,,,Other,Unknown,2021-08-02
FAMOUS PERSON,"<p>Hola Lila Downs^ </p><p>Me llamo Sofía^ y quiero invitarle a mi escuela en Carolina de Norte porque creo que usted es un buen cantante y me encanta su música; creo que mis compañeros y profersores necesitan conocerle. </p><p>Si decide a visitarnos^ tendrámos una fiesta en celebracion de usted. Durante la fiesta^ usted cantará^ si quiere^ o puede conocer a los estudiantes. Tambien puede hablar de su vida antes de ser cantante^ y su vida ahora. Si usted quiere visitarnos^ le mandaré un horario de su visita. </p><p>Muchas gracias^ Sofía.</p><p><br></p>",B2,3749591,33,T4799103,"Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.  Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp;an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	Explain why you are inviting this person to come to your school to present to the students and teachers. 	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.  ",A,1,I5,A-SE,3534,,,,Other,Unknown,2021-08-02
ANIMALS,"<p>Hola amigo. Me gustan los perros porque son buenos. Ellos pueden jugar contigo. Pero ellos pueden comer tu. ¡Adios!</p>",A2,3749634,40,P4799368,"Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ",I,1,I1,I-MM,3400,,,,Traditional classroom,Foreign Language,2021-08-02
ANIMALS,"<p>!creo que deberias tener un perro porque son mucho mejores que los gatos! Con los perros^ haces ejercicio a diario porque tienes que pasear a tu perro todos los dias^ y los perros ahuyentan a los gatos y a los ladrones. Pero tienes que llevar perros a todos partes si planeas viajar incluso cuando haces manandados^ pero esto so significa que los perros sean una carga^ !quieren protegerte donde quiera que vayas!</p><p>Atentamente^</p><p>Vinu Jayapradhaban</p>",A2,3749220,45,M4797187,"Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ",I,1,I3,I-MM,4294,,,,Traditional classroom,Foreign Language,2021-08-02
ANIMALS,"<p>Hola Penpal^ </p><p>Yo creo que un conejo es el animal perfecto para ti. Un conejo es muy facil porque los conejos comen ensalada. A veces los conejos son aburridos porque ellos duermen mucho.</p><p>Sinceramente^</p><p>Marisa Rodriguez</p>",A2,3749646,29,A4799380,"Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ",I,1,I1,I-MF,3947,,,,Traditional classroom,Foreign Language,2021-08-02
CITY_TOWN,"<p>Hola Señor^</p><p>Aqi en Chicago hay muchas lugares en interesantes. El Navy Pier es muy divertido. En el Navy Pier puede andar el ferris wheel. La comida en las ciudad es muy buena tambien.</p><p>Sinceralamente^</p><p>Marisa Rodriguez</p>",A2,3749646,29,A4799380,"A teacher from Guadalajara will be visiting your school. He will be in town for only 3 days. He wants to visit interesting places in your town.   Write an email to the teacher^ including appropriate greeting and closing to your message. Provide information about things to do in different^ popular places in your town.  ",N,1,I1,,3947,,,,Traditional classroom,Foreign Language,2021-08-02
