,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam,MachineScore
4,CLUBS,<p>Querida Principal&nbsp;_____________^</p><p>Estoy escribiendo a usted hoy para discutir el deseo de muchos estudiantes a empezar un club para hacer actividades voluntarios alrededor de la escuela y el pueblo. Sabemos que las horas voluntarios debe ser muy importantes a nuestra comunidad y también son importantes para nuestros resumens para universidad. Ahora^ muchas personas no tienen acceso a oportunidades para hacer trabajo como esto^ así que queremos darlo con este club. Debe ser un grupo que reunia una día cada semana despues de la escuela para ir alrededor de la escuela o el pueblo y hacer trabajo que ayuda a las personas en nuestro comunidad. Ya tenemos suficiente estudiantes que quieren participar y probablemente hay muchas más que no ya saben sobre esta idea.</p><p>Este club tenería un impacto muy positivo en nuestro escuela porque ayuda a los estudiantes que hacen el trabajo y las personas que reciben su ayuda. Los estudiantes pueden liampiar los parques^ playas^ y calles para la comunidad^ ayuda a otros estudientes con la tarea^ y ayuda con actividades y eventos alrededor de la comunidad. También es bueno porque ellos pueden recibir horas de servicio para sus resumens para la universidad. Esto es algo que yo creo va a ser muy bueno para no solo los estudieantes pero todos en la escuela y^ también^ muchos en la comunidad. </p><p>Atentamente^</p><p>|Su Nombre|_______</p><p><br></p>,B2,3657112,38,X4680719,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,A,A-MF,4150,,,,Traditional classroom,Foreign Language,2021-06-14,1-A-M+
5,CLUBS,<p>tu deille tus amigos o amigos. tu puedes a gara estudiantes para la club. Tu puedes a ablar tu Maestro o Maestras.</p>,B2,3741234,34,V4775618,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I1,A-NE,3400,,,,,Heritage Language,2021-06-14,3-A-NE
6,CLUBS,<p>Los estudiantes de este escuela quieren un clube de deportes. Este clube de deportes es por todos los deportes y por los ninos y ninas.</p><p>Este clube es muy postivio y fui tiene un impacto poistivo en el escuela y la communidad. No hay deportes aqui ahora y un clube de deportes es un bunea cosa por los estudiantes.  No hay mucho opportunidads en la communidad para los estudiantes aqui a jugue deportes. Un clube es la opportunidad que los estudiantes necisito.</p><p><br></p>,B2,3741728,13,Y4776343,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I1,A-NE,3389,,,,Traditional classroom,Foreign Language,2021-06-14,2-A-SE
7,CLUBS,<p>hola señorita lopez </p><p>yo quiero ser un club de limpiar el mundo y como podemos tener el escuela  afuera de escuela limpio.</p><p>hay muvhas escuela que tienen classes sucio y no es solo los clases si no lugares pequeños.</p>,B2,3741519,10,F4776076,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I1,A-NE,3389,4302.0,,,Heritage learner,Heritage Language,2021-06-14,3-A-NE
10,CLUBS,<p>Hola Director^ </p><p>Gracias por tomar el tiempo para leer esto. Me gustaria traerle una nueva propuesta. Mejor me voy directo al punto^ a mi y a otros estudiantes nos gustaria empezar un nuevo grupo. Nos gustaria empezar un equipo de futbol americano. Yo se que aqui el futobol americano no es muy comun pero es muy divertido y es uno de los deportes mas famosos tambien. Teniendo un equipo de futbol americano nos podrea traer muchas ventajas^ no nomas a nosotros los jugadores pero a la escuela tambien. </p><p>Para empezar^ el futbo americano es muy bueno para bajar de peso y hacer ejercicio. Movimento fisico es divertido y ayuda con estres tambien. Los jugadores van estar no solo mas saludables pero mas listos para clases y preparados para estudiar. Puede ser muy buena idea si se hace bien. Con la ayuda de usted y con la de los estudiantes yo se que podemos tener un equipo muy bueno. Piense en mi propueta por favor^ gracias. </p><p>Sinceramente^</p><p>Jason </p>,B2,3744072,43,N4780527,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-SE,4141,,,,Heritage learner,Heritage Language,2021-06-14,2-A-SE
11,CLUBS,,B2,3743958,2,S4780070,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,N4,A-NE,4314,,,,Heritage learner,Heritage Language,2021-06-14,3-A-NE
12,CLUBS,<p>el club que querimos empeser es una depertitha un club adonde levantamos basura en la escuela. ye el que levantia mas en el club agara un regalo de achivimento. ye los projectos que banaser son unos papeles que dise lo que estamos asendo y si mas perosonas qurien dair ayouda.</p>,B2,3744649,23,J4781453,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-NE,4192,,,,Heritage learner,Heritage Language,2021-06-14,3-A-NE
13,CLUBS,<p>Estimado Señor^ </p><p>En nuestro cuidad es muy común para ver calles contaminadas con plastíco y papeles^ los ríos con botellas de agua^ y el aire pollucionado. Tristamente^ la problema con pollución aumenta día por día^ y como resultado los animales y plantes estaban sufriendo. Como resultado^ muchos estudiates en nuestra escuela quieren empezar un club del medio ambiente. El proposito de nuestro club es para reducir la contaminación en los calles^ forestos^ y los ríos^ ayudar arbóles y plantas^ y dar información a personas en nuestra comunidad como salvar el medio ambiente. Hay muchos estudiantes que tienen pasión contra calentamiento global y polución^ y quieren empezar hoy para hacer una diferencia en el mundo. </p><p>Tenemos muchas ideas para el club de medio ambiente. Por ejemplo^ teníamos muchos oportunidades voluntarios para limpiar los forestos^ calles^ parques^ y rios de nuestro locación. Usariamos bolsas reutilizadas para poner plastico^ papel^ y aluminum^ y tiríamos las bolsas en un lugar designado. Además^ tendremos un projecto para hacer carteles anti-contaminaciones y ponerlas en lugares públicos. Tambien^<span style=|font-size: 1em;|> quieriamos hacer redes sociales para nuestro club para tener una audiencia más grande y inspirar otros para ser voluntarios en naturaleza. </span><span style=|font-size: 1em;|>Necesitamos el apoyo de usted para hacer nuestro club. ¿Usted puede ayudarnos?</span></p><p><span style=|font-size: 1em;|>Gracias por su tiempo^</span></p><p><span style=|font-size: 1em;|>Los estudiantes con pasión</span></p><p><br></p>,B2,3741065,22,M4775219,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,A,A-MF,140,,,,Traditional classroom,Foreign Language,2021-06-14,2-A-SE
17,CLUBS,<p>Estimado Principal^</p><p>      Soy miembro de la secundaria y me opina que es necesario que empiecemos un club nuevo en escuela. He hablado con otros estudiantes y también piensan que debemos empezar un club de cocinar. En nuestro club^ prepararíamos platos de comida tradicional de cultural diferentes. Es una buan opertunidad para enseñar a los estudiantes sobre culturas nuevas y es necesario que cada estudiante pueda trabajar en la cocina. Después de preguntar muchos compañeros de clase^ hemos decidido que en esta club^ emperzarémos con un plato Méxicana^ como chilaquiles o elote. Si enseñara a los estudiantes sobre cultura Méxicana^ conectarían con sus raíses más fuerte. Es algo necesario y vale mucho la pena.</p><p>      Para continuar^ cocinar es algo necesario para vivir. Es sabido que los hombres (usualmente) no cocinan en sus casas. Es un dato real que las mujeres y las chicas aprenden como preparar comida para la familia pero no es común para los chicos. Los estudiantes querían cambiar eso. Es el año 2021 y cocinar no tiene un sexo-es para cada persona. Escuela es un lugar donde chicos tienen la opertunidad para expresarles sin juzgamiento de otras personas. Me alegre mucho que hayamos creado un lugar en escuela donde cada personas realiza sus ventajas y desventajas de sus personalidada y con eso club mejorarémos las abilidades de los estudiantes. Además^ el club demonstará comó preparar platos sencillos que baratos (porque hay estudiantes que no viven con mucho dienro)^ comó lavar platos^ y crear una mesa bonita. A más de esto^ los estudiantes tendrían la opertunidad para tratar su comida para ver las posibilidades de ingredientes sencillos. En total^ el club mejoraría las vidas de los estudiantes. Espero que piense sobre eso.<br></p><p>Atentamente^</p><p>Sophia Sheikh</p>,B2,3741057,39,S4775211,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I5,A-NE,4141,,,,Traditional classroom,Foreign Language,2021-06-14,1-A-M+
21,CLUBS,<p>Estimado el principal^ </p><p>Muchos estudiantes en la escuela quiero empezar un club nueva.  Este es un club de badminton.  Badminton no ha sido un deporte en la escuela^ pero muchos estudiantes tiene un pasion para este actividad.  Este es un pasatiempo por muchos grupos de amigos y un actividad disfrutable.  Con este club todos los estudiantes tendrían un lugar donde a divertir y competir.  </p><p>Este club haría un impacto positivo en la escuela y el ambiente de la escuela.  Por ejemplo^ nuestro club tendría partidos para caridad^ en que alguno estudiante participa en partidos de badminton y dona a la caridad para jugar el partido.  Un otro idea de una actividad sería donde organizamos para limpiar los campos y canchas de la escuela.  Desde usa este campos^ ayudamos la comunidad con estes limpios de los campos.  Finalmente^ un proyecto que este club participaríamos en es una campaña para dar los equipos de badminton a los países y comunidades que sufre para crear felicidad.  Gracias por tu consideracion.  <br></p><p style=|text-align: right;|>Sinceramente^</p><p style=|text-align: right;|>Esteban</p><p><br></p>,B2,3741025,44,Y4775179,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,A,A-MF,4138,,,,Traditional classroom,Foreign Language,2021-06-14,2-A-SE
