Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam
ACTIVITIES,"<p>En el verano yo y mís amigos vive a la playa y la piscina y jugar juegos y videojuegos. Yo ir a Michigan para mi familia y ir a New Jersey para mis abuelos.</p>",A2,3747208,9,V4789389,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N2,N-MM,2278,,,,Other,Unknown,2021-07-17
ACTIVITIES,"<p>Hola! </p><p>      En verano^ mis amigos y yo visitamos muchas pueblos diferentes. Este verano^ yo visito Grand Haven^ Fort Lauderdale^ y Las Vegas. Fort Lauderdale es un ciudad popular por visitar en verano. Chicago tiene muchos pueblos pequenos. Vivo en el peublo Sauganash. Norte de Sauganash es un pueblo mas grande. Yo visito otra pueblos en la tren con mi hermana. Mi hermana y yo visitamos el museo y la piscina mucho. Me encanta la picina. Mis amigos visitan la biblioteca. No me gusto la biblioteca. Mi perro y yo jugamos con la pelota mucho en fronte de mi casa. Yo cocino las galletas deliciosos a mi casa mucho! Hoy^ yo visito una fiesta para mi amiga^ Jessica. Muchas personas teinen fiestas en Julio. En los fines de semanas muchas personas visitan el centro commecial. Mi pueblo tiene uno centro commecial. Es muy grande! Otra dias^ yo jugo video jugos con mi amigo. En los jueves^ mi familia y yo visitamos la parque. El nombre de el parque es Portage Park. Portage park tiene muchos animales y personas. Mi actividade favorito en Portage Park es voliebol y balocesto. Voliebol es mi favorito! Aqui en Chicago^ los veranos son muy divertida! <br></p><p>Adios! -Georgia</p>",A2,3747232,45,X4789413,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I1,,4424,,,,Other,Unknown,2021-07-17
ACTIVITIES,"<p>Hola. En verano^ mi amigos y yo visitar a la playa. Nosotros jugar deportes como volÍbol y fútbol. Yo como <span style=|font-size: 1em;|>es montar mi bicicoleta. </span></p>",A2,3747268,32,E4789449,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I1,,3389,,,,Other,Unknown,2021-07-17
ACTIVITIES,"<p>Durante el verano^ yo juego tenis. Mi hermana jueges tenis^ tambien. My classmates ver los películas y juegan fútbol. Fútbol y tenis es muy populares durante el verano^ y muchos estudiantes jugan. Otras estudiantes es estudian por escuela. Yo estudio por escuela^ pero no gusta estudiar. Mi ciudad es muy grande y calor^ so muchos estudiantes visitan la parque. </p>",A2,3747308,17,J4789489,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I1,,4424,,,,Other,Unknown,2021-07-17
ACTIVITIES,"<p>Hola^ </p><p>Nosotros huger futbol^ nathar^ y come. Me gusta nathar en la lake. Me gusta huger con mis gatos. </p>",A2,3747372,9,V4789553,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N4,,3947,,,,Other,Unknown,2021-07-17
ACTIVITIES,"<p>¡Hola!</p><p>¿Como estás?<br></p><p>Durante el verano en los Estados Unidos^ no vamos a la escuela (pero si un estudiante quiere va para estudia^ puede va). En el verano^ los estudiantes escuchan a la musica^ hablan con sus familias y amigos^ estudian^ hacen trabajo^ y tambien juegan con agua cuando está muy calor. Vamos a la playa o escapamos el mundo occupado al nature. Usualmente^ nos comemos paletas^ frutas^ y otro cosas frío. Ademas^ el sol amarillo y los flores de todos los colores son muy bonita. En la noche el luz de nature es sincero.<br></p><p>Con mi madre^ mi padre^ mi abuela^ y mi hermana major^ voy al destinaciones diferentes y nuevo. Aprendemos sobre las historías de las otras personas y sus perspectivas. </p><p>Estoy aprendiendo sobre el mundo y las personas porque creo que es muy importante y divertido.</p><p>Ademas^ porque me gusta hacía arte y musica^ en este verano estoy toccando el guitarre y el violin.</p><p>El verano aquí puede interesante^ emocional^ divertido^ y un poco loco :)</p><p>¿Como es el verano para ti?<br></p><p><br></p><p>Sinceremente^</p><p>KS</p>",A2,3747376,1262,E4789557,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I4,,3389,,,,Other,Unknown,2021-07-17
ACTIVITIES,"<p>Hola^ amiga! En el verano^ estudiantes les gusta hacer muchos deportes diferentes. Los deportes más populares son el fútbol^ el baloncesto^ el béisbol^ y el fútbol Americano. En mi pueblo^ muchas personas les gusta correr también. Mi familia corre^ y mi perro Buddy también! Yo hago gimnasia todos las días en el verano pero sin los fines de semana.</p><p>Otros actividades qué me gusta hacer son ir de compras^ montar mi bicicleta^ ir a la piscina^ e ir a la playa. Tengo una piscina en mi casa^ y me gusta nadar con mi hermana y mis amigas. Porque hay muchas lugares cerca de mi casa^ monto mi bicicleta mucho en el verano.  A veces^ monto mi bicicleta a las casas de mis amigas. Voy de compras mucho en el verano. Me encanta comprar ropa cómo vestidos^ faldas^ y camisas. Prefiero vestirme bién en el verano. Cuando voy a la playa^ voy con mis amigas o mis primas. Mucho de mi familia vivo en mi ciudad^ Chicago.</p><p>Qué actividades te gustan en el verano? Te gusta viajar? Yo quiero viajar a España!</p><p>Hasta luego!</p>",A2,3747380,46,W4789561,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I3,,4428,4294,,,Other,Unknown,2021-07-17
ACTIVITIES,"<p>Durante el verano^ mi amigos y yo jugar básbol^ y camp.</p>",A2,3747400,9,G4789581,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N2,N-MM,3947,,,,Other,Unknown,2021-07-17
COMMUNITY_SERVICE,"<p>Yo no gravi de communidad. </p>",A2,3747400,9,G4789581,"Your Spanish club is preparing information to post on the club’s website for your sister school in Peru. The students in Peru want to know about service projects that students are doing.  Write a post for the website describing the volunteer or community service activities that you or your classmates are doing. Describe the activities with lots of details. Give as much information as you can. ",I,1,N2,I-NE,3947,,,,Other,Unknown,2021-07-17
COMMUNITY_SERVICE,"<p>En nuestra escuela^ hacemos muchos proyectos de servicio. Los estudiantes y los maestros juntos hacen mucho para la comunidad!</p><p>En el otoño^ los estudiantes organizaron un proyecto para limpiar la escuela y los parques cerca de la escuela. Sacaron la basura en los parques^ pusieron plantes y árboles^ y limpiaron todos los escritorios en los vacaciones.</p><p>En el invierno^ la escuela organizaron un proyecto para los personas qué no tienen casas. Los estudiantes prepararon comida cálida^ hacen mantas y almohadas^ y daron regalos para los niños. Los maestros ayudaron^ pero estos proyectos son el producto del trabajo de los estudiantes.</p><p>En la primavera^ los estudiantes asisten a los jardines del cuidad. Pusieron plantas^ árboles^ y muchos flores en los jardines. También pusieron frutas y vegetales para la comunidad y los daron a la cuidad.</p><p>Nuestra escuela hace muchos proyectos en la comunidad!</p>",A2,3747380,46,W4789561,"Your Spanish club is preparing information to post on the club’s website for your sister school in Peru. The students in Peru want to know about service projects that students are doing.  Write a post for the website describing the volunteer or community service activities that you or your classmates are doing. Describe the activities with lots of details. Give as much information as you can. ",I,1,I3,I-MF,4428,4294,,,Other,Unknown,2021-07-17
