Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage
ACTIVITIES,"<p>Hola^ en la    ^ mi me gusta jugar video juegos y fútbol americano con me amigos. En la media con la día es muy caliente^ Yo vamo en la casa.</p>",A2,3749727,22,U4799678,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N3,N-MF,3947,,,,One-way immersion,Foreign Language
ACTIVITIES,"<p>Aquí^ estudiantes jugar con amigos. Yo juégo fútbol con mís amigos en sabado y domingo. Uno más actividad es voy a la cíne en la noche. Mí favorito cine es en la ciudad. Allá^ más personas es amable. Uno más actividad es a montar bicicletas. Mí bícicleta es roja y azúl. Uno tiempo^ yo montar con mís amigos^ dos amigos en uno bícicleta. Yo estoy loco. A mí me gusta comprar ropas y nuevo cosas. En todo^ yo tengo mucho tíempo líbres despues escuela.</p>",A2,3749731,28,B4799682,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N4,,3768,,,,One-way immersion,Foreign Language
ACTIVITIES,"<p>En verano yo viajo a Costa Rica por un español programa. Yo estudio ustedes cultura y comida y practicar en mi español</p>",A2,3749735,12,A4799686,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N4,,4141,,,,One-way immersion,Foreign Language
ACTIVITIES,"<p>La estudiantes es vamos tú la playa. Es no mas por la summer.</p>",A2,3749739,6,K4799690,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N3,N-MM,3947,,,,One-way immersion,Foreign Language
ACTIVITIES,"<p>En Espania mis amigos los gustan jugar futbol despues de desayuno. A mi tambien me gusta jugar a videojuegos en mi tiempo libre para ablar con mis amigos todo el tiempo y para devertir me con mundos imaginariors. Mis amigos tambien los gustan a jugar video juegos con mi pero ellos tambein me introducin a nuevos juegos para jugar mas.</p>",A2,3749743,17,G4799694,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I1,,3768,,,,One-way immersion,Heritage Language
ACTIVITIES,"<p>no say my in spanish                my  emegos amarcan football es football </p>",A2,3749747,8,L4799698,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,Below N1,N-NE,3768,,,,One-way immersion,Foreign Language
ART,"<p>ARTE ESCONDIDA : UN RESÚMEN DEL GRAFFITI EN MI CIUDAD</p><p>Yo soy Spencer Cummings^ y vivo en el ciudad de Greensboro. No hay museos grandeosos ni pintores acclamados en mi ciudad^ pero si hay mucha arte^ si sepas buscarlo.</p><p>Hablo sobre la arte de la calle. Para ser especifico^ hablo en el graffiti. Existe a todas partes en el ciudad; en los lados de los trenes^ paredes exteriores de la escuela^ y debajo de puentes^ puedes encontrar el graffiti.</p><p>Desde que estuve un niño pequeñito^ el graffiti me ha fascinado. No sé si es por las rayas aggresivas^ o los colores brillantes^ o el riesgo que lo accompania^ pero hay algo mágico sobre la arte del graffiti. Refleja la verdadera emoción del ciudad en una manera bella y brillante. Si quieres ver el resulto de alguien pasando horas y horas sentado en frente de un canvas^ puedes pagar mil dólares y viajar a francia para ver a los cuadros en el Louvre. Pero si quieres ver el resulto de la pasión y emoción de alguien poniendo su mismo libertad en riesgo para expresar algo a la ciudad^ solo necesitas mirar debajo de un puente en Greensboro.</p>",B2,3749751,59,K4799702,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,,4456,,,,One-way immersion,Foreign Language
ART,"<p>Hola (&gt;HUMANOS DE MADRID QUE GUSTAN ARTE DE OTROS PAÍSES&lt;) </p><p>Me llamo ben^ </p><p>me gusta el arte de (&gt;nombre de artista famosa&lt;) porque (el/ella) tiene un imaginacíon muy bueno. Recomiendo el arte de (&gt;nombre de artista famosa pero es diferente&lt;) tambien porque usa muchas calores muy^ muy interesantes para pintar la naturaleza. </p><p>porque yo no se muchas otros artistas^ voy a terminar este (&gt;NO SE BLOG EN ESPAÑOL PERO PIENSO QUE ES EL MISMO DE ¨blog¨&lt;) con una pregunta<br></p><p>¿Quien es tu artista favorita?</p>",B2,3749715,56,W4799666,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,I-MM,3400,,,,One-way immersion,Foreign Language
ART,"<p>Hola estudiantes^</p><p>Bienvenidos a Idaho^ Hay muchos lugares puedes mirar arte obviamente en un museo pero en general el pueblo es arte porque hay muchas montañas y animales y en la manaña y en el noche las sunsets son muy hermosa y tiene muchos colores</p>",B2,3749719,17,K4799670,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I3,I-MM,3389,,,,One-way immersion,Foreign Language
CELEBRATIONS,"<p>queando es mi compleainyo mi papi y mami me jevar ar magic mountian </p>",A1,3749551,11,R4798600,"Your penpal from Guatemala asked you to describe how people usually celebrate their birthdays or other special events where you live.  Write an email to your penpal. Describe in detail how you or your friends usually celebrate birthdays or other special events. Give examples of activities people do on their birthdays or for special events^ who celebrates with them^ and any other information about the event. ",I,1,N3,I-NE,3545,,,,Two-way immersion,Heritage Language
