Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam
ART,"<p>Yo soy en New Jersey^ y locacíon tiene mucho arte. Por ejemplo^ nosotros tenemos mucho museos de arte moderna. Este es mi arte favorita - muy bonito. </p>",B2,3740525,31,J4774674,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,N4,I-SE,4428,,,,Traditional classroom,Foreign Language,2021-07-02
ART,"<p>En Mahwah^ el cuidad tiene muchos competiciones del arte y tiene una evento en la escuela secondaria. Los competiciones^ usualmente^ con un eventos. Por ejemplo^ para junio^ Mahwah tiene un evento para la comunidad de LGBT. El evento tiene una competicion para arte en Mahwah para el evento. Mahwah es sobre el Nueva York. Nueva York tiene muchos museos de arte^ por ejemplo^ el Metropolitan Museo del Arte. A la escuela secondaria^ a la final del año^ los estudiantes del arte participan en una evento a displar arte sobre el año.</p>",B2,3740613,15,A4774762,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I1,I-MM,4428,,,,Traditional classroom,Foreign Language,2021-07-02
CLUBS,"<p>Hola Mr. Pascal^</p><p>Yo soy interesante en crear una actividad nuevo. El club es una club de voluntario. Mas estudiantes quieren muchos opportunidades a volunteer y necesitan ayuda para c</p>",B2,3740613,15,A4774762,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,I1,A-NE,4428,,,,Traditional classroom,Foreign Language,2021-07-02
CLUBS,"<p>  Hola señor principal^ yo pienso que a empezar el club de robotico es muy beneficio para escuela. Muchos estudiantes amores robotico^ y muchos estudiantes somos enterisante participar en el club.</p><p>  Club de roboticos es mucho bien para escuela porque robotico es muy importante. Robotico es el future de las personas. Personas de club estudias robotico y ayudas otros estudiante con robotico.</p>",B2,3740525,31,J4774674,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,N4,A-NE,4428,,,,Traditional classroom,Foreign Language,2021-07-02
COMMUNICATIONS,"<p>En mi locacíon^ adultes halban muy similar es niños^ no yo notico differencias. Por ejemplo^ adultes usualmente halban despacio. Cuando yo tengo diesisies años^ mi mama y papa hablan poco differente y es dificil para me.</p>",B2,3740525,31,J4774674,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,N4,A-NE,4428,,,,Traditional classroom,Foreign Language,2021-07-02
COMMUNICATIONS,"",B2,3740613,15,A4774762,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,I1,A-NE,4428,,,,Traditional classroom,Foreign Language,2021-07-02
DAILY_SCHEDULE_ROUTINE,"<p>Hola Amigo^ </p><p>Para una projecto de Historia^ yo necesito escribe una diaria de una persona en el pais diferente. ¿Que tiempo necesita estas en escuela? En mi escuela^ yo necesito esta en escuela a 7:40 en la mañana. ¿Que tiempo a comer desyauno^ alumerzo^ y cena? ¿Que tiempo tienes deportes y otras actividades? ¿Que clases tienes tu? ¿Cual es la tiempo para relajar?</p><p>Gracias^ </p><p>Kelsie</p>",B2,3740613,15,A4774762,"You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.  Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly. ",I,1,I1,I-MM,4428,,,,Traditional classroom,Foreign Language,2021-07-02
DAILY_SCHEDULE_ROUTINE,"<p>¡Hola mi amigo! Yo pienso tu escheduales es importante para mi projecto. ¿Que tiempo tu escuela finalemente? ¿Que actividades tu completes durante en dia? ¡Gracias!</p>",B2,3740525,31,J4774674,"You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.  Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly. ",I,1,N4,I-SE,4428,,,,Traditional classroom,Foreign Language,2021-07-02
FAMILY,"<p>¡Hola! Yo tengo familia de cuatros personas - mi hermano^ mi papa^ y mi madre. Yo no escucho mucho con mi familia^ no nosotros comemos con otros miembros en el familia. Normalmente^ yo y mi familia padeamos en el final de semana. ¡Adios!</p>",B2,3740525,31,J4774674,"Your penpal from Spain wrote you an email. She wants to know more about family life in your country.  Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family. ",I,1,N4,I-SE,4428,,,,Traditional classroom,Foreign Language,2021-07-02
FAMILY,"<p>Hola Amigo^</p><p>En los Estados Unidos^ las familias juntar para los festivos o otros eventos importantes. En mi familia^ juntamos paras los cupleaños^ los festivos nacional^ y los festivos religiones. Mi familia celebrar los cupleaños de los miembros de la familia y celebrar el cuatro de Julio^ la Navidad^ y el año nuevo. Similar de los tradiciones en otras paises^ las familias cocinan juntos^ hablar chistes^ y hablan sobre los memorias y estorias. Muchas familias en los Estado Unidos comer juntos a la noche y hablar sobre un dia o otras cosas. Mas familias tienen los actividades a participan. Por ejemplo^ mi familia gustamos cominar con el perro^ y motar en el coche juntas. ¿Que es la vida de familia en tu pais? ¿Tienes festivos no esta en los Estados Unidos?<br></p><p>Adios^ </p><p>Kelsie</p>",B2,3740613,15,A4774762,"Your penpal from Spain wrote you an email. She wants to know more about family life in your country.  Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family. ",I,1,I1,I-MM,4428,,,,Traditional classroom,Foreign Language,2021-07-02
