,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam,MachineScore
71,CLUBS,<p>Hola principal^<br></p><p>El estudiantes de la escuela quieren empenzar un club de athlético para la escuela. un club de athlético es fantastico porque el estudiantes pueden correr. El estudiantes en la escuela les gustan correr y pueden ser emojionado. </p><p>Esta club puedes ayudar la escuela porque el estudiantes pueden estar muy rapido. En el club los personas en la cima pueden dar projectos acerca de desportes y salud El club puedes tener mucho desportes. Fútboll^ americano fútboll y beisboll son bien ejempoles.</p><p>gracias para todo^</p><p>Alex</p>,B2,3703459,47,L4732415,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I2,A-SE,331,,,,Traditional classroom,Foreign Language,2021-06-04,2-A-SE
72,CLUBS,<p>Hola prinicpales^</p><p>Me amo amo Gustavo^ No estudiantes en esquella jugo nadar.  Yo jugo nado y uso mi intellientes tutiar es estudientes en la esquella.  Muchas estudientes enteresante en la nadar.  El aqua en mi casa. <br></p><p>Estudientes en esquella es muchas tiempo.  Tiempo usar con vidio juegos y no atleticas.  Esquella es muy bien atleticas.  Estudiantes y nadar es muy bien.  Estudientes con muy atletico y feliz.  Muchas estudientes y mi amigos nadar.  Estudientes uso mi casa agua y razar. <br></p><p>Gracias con tu tiempo mi prinicapales<br></p>,B2,3703455,45,P4732411,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,Below N4,A-NE,3768,,,,Traditional classroom,Foreign Language,2021-06-04,2-A-SE
74,CLUBS,<p>Hola^</p><p>     Como estas? Yo tengo aqui a decir me y otra estudiantes quiere start el deportes club. Nosotros hace muy muchas energia despues escuela al dia. Todos quiere a start el deportes club a hace divertido con mi amigos. Mi amigos amo el idea y quiere a jugar otras en deportes gusta futbol^ futbol americano^ lacros^ baloncesto^ beisbol^ etc. <br></p><p>     Positivio impacticas en el escuela es muy importante. Yo quiere estudiantes a hace divertido tambien en shape. Parentes de estudiantes en el deporte club jugar a see estudiantes jugar en muchas deportes y see personas happy y smiling. Mental health es muy importante para el estudiantes! <br></p><p>Gracias^</p><p>Maddie P. <br></p><p> <br></p>,B2,3703451,47,Q4732407,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,N4,A-NE,3911,,,,Traditional classroom,Foreign Language,2021-06-04,2-A-SE
75,CLUBS,<p>Hola Principal! Mi amigo invetar a futbol club de escuela con amigos y chicos en escuela. En futbol club chicos y chicas jugar futbol. Futbol es mi amigos favorito deporte y chicos y chicas favorito deporte. Club de futbol es muchas bien porque ejercicio^ social interaccions^ y bien grados. <br></p>,B2,3703439,44,U4732395,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,N4,A-NE,3534,,,,Traditional classroom,Foreign Language,2021-06-04,3-A-NE
77,CLUBS,<p>óBuenos Dias Senora^ </p><p>Mi y muy con studiantes queer to teinen la escular clubo. Nosotros qurenos to tiene permision con tu primo. Nosotros to creata la clubó con estudiantes qien teine mucho clase trabja y no hora. Las clubo la con tarea. Mucho estudiantes nessiceto la gradés esta bien. La clubo teinen la positiva impacta con las estudiantes porque las get muy hora. Personas con termina la proyectas y trabjas. Por favor let nosotros tienen las opertunidas con la clubo. </p><p>Mucho gracias Sra. </p><p>-La estudiantes</p>,B2,3703435,46,U4732391,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,Below N4,A-NE,331,,,,Traditional classroom,Other,2021-06-04,2-A-SE
78,CLUBS,<p>Querido director^</p><p>Nosotros queremos crear un club de arte.  En el club^ los estudiantes dibujar y crear otra arte.</p><p>El club es beneficioso porque estudiantes pueden expresar y hablar con otras personas que tienen intereses similares.  Ello es divertido para tu estudiantes también.<br></p>,B2,3703427,50,N4732383,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I1,A-NE,3958,3534.0,,,Traditional classroom,Foreign Language,2021-06-04,3-A-NE
79,CLUBS,<p>Hola^</p><p>Tu estudiantes quieren un activadad groupo de personas. Ellos quieren juegan en actividads y ayender. Ellos es bien estudiantes y quiren un chess groupo. Ellos quieren competetition en chess y a ayender mucho.</p><p>El groupo de chess es muy bueno cosa. Mucho estudiantes mirar tu estuidantes juegan en chess y mucho estudiantes quieren ser en chess groupo. El estuidatnes ayender jugar chess y estuidar presentatciones en chess.</p><p>Gracious.<br></p>,B2,3703419,36,H4732375,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-NE,3282,,,,Traditional classroom,Foreign Language,2021-06-04,3-A-NE
80,CLUBS,<p>Hola amigo^</p><p>Hola^ principal ____^</p><p>                        Yo quiero empezar un club para escuela. Otros personas personas en la escuela tambien gustan un club de _____. ______ ayudará con la club^ y más otros profesoras qiueren ayudar. La club está muy importante para los estudiantes de _____.</p><p>                       El club de _____ ser posible ayuda estudiantes con tarea^ y _____. Los impactos positiva es muy bueno y mucho. El club tengará actividades de _____^ _____^ y _____. Los estudianes podrían aprender _____ y _____^ cual la escuela no profesa. En mi opinion^ el club es muy importante para la escuela.</p><p>Tù estudiante^</p><p>_________.</p><p>Yo escrito un sampla letra para tú.</p><p>Tú amigo^</p><p>William.</p><p><br></p><p><br></p>,B2,3703378,41,T4732333,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-SE,3947,,,,Traditional classroom,Foreign Language,2021-06-04,2-A-SE
81,CLUBS,<p>Hola Profesora/o</p><p>Mi llama es Kyrsten y mi penpal me dijo que los personsas en la escuela quiero comienzo un club. Personas quiero comienzo un leyendo club con libros to el personas gustiaran. Los persons no gusta libros en el ingles clase por muy aburrido. Estudientes quiero al menos tres veces en el semena despues escuela en biblioteca. </p><p>El club muy positivo impacto en la escuela porque estudientes quiero leer libros por divertida. Los estudiantes animos orta estudiantes leer librs por divertide y avance los leyendo habilididaes. </p><p>-Kyrsten</p>,B2,3703358,39,Y4732313,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-SE,4462,,,,Traditional classroom,Foreign Language,2021-06-04,2-A-SE
83,CLUBS,<p>Hola!</p><p>Yo y otra estudiantes quieramos comenzar un club. Nosotros quieramos somos amigos con personas tener similar interes con mis amigas y yo. Este clud ayudar estudiantes estan mas simpatico y limpo la tierra. Nosotros quieremos limpo arriba de la playa en la semanas.</p>,B2,3703350,43,P4732289,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,N4,A-NE,3911,,,,Traditional classroom,Foreign Language,2021-06-04,3-A-NE
