Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage
ACTIVITIES,"<p>Hola Amigo^<br></p><p>En las veranos yo toca mis instrumentos mucho. Tocan la guitarra^ y attiende clases de otros instrumentos. Me gusta musica mucho^ y yo paso mucho de mi tiempo libre escrite canciones. Tambien^ en las veranos^ juego deportes con mi hermano. Juego futból y baloncesto y corriendo mucho. Mi amigo en esta clase le gustan el mar^ y ella fue a los hamptons porque es un bonita lugar para nadar. La familia de ella tienen un casa muy grande en los hamptons^ y algunos tiempos de ella vuelve a este^ ella fue con mi. Estas vacaciones estan muy divertida^ y me gustan mucho porque los hamptons no estan un gran distancia de mi casa en nueva york. Que haces en las veranos en españa? </p>",A2,3678656,10,W4704222,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I1,,3400,,,,Traditional classroom,Foreign Language
ACTIVITIES,"<p>Hola mi amiga^ </p><p>   En el verano^ me gusta viajar a muchos lugares. Este verano^ voy a ir al campamento |Treetops.| En el campamento^ nosotros montamos en caballo^ nadamos en el lago^ caminamos en las montañas^ comemos comida deliciosa^ vamos de camping^ y jugar muchos deportes. En el campamento^ los campers son los quehaceres de los animales levantan a las seis de la mañana. Los campers otros levantan a las siete de la mañana. Este es las lunes^ martes^ miércoles^ jueves^ viernes^ y sábados. Los domingos todos los campers levantan a las ocho de la mañana porque el domingo es una día para descansar. Los domingos^ nosotros hacemos nuestras camas. Que yo tengo un viaje de subir las montañas en el campamento^ yo tengo que levantar a las cuatro de la mañana. Debes ser a nuestro campamento. Es muy divertida.</p><p>Adiós^</p><p>   Cordelia Sireci</p>",A2,3697860,31,B4725824,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I3,,3252,,,,Other,Foreign Language
ACTIVITIES,"<p>En el verano^ yo viajo a la playa con mi familia; mi mamá^ mi papá^ mi hermana^ mis primos^ y mis tios. Me gusta nadar en el oceanio o en la piscina. En adición^ yo miro la television^ monto mi bicicleta^ y pasar tiempo con mis amigas durante el verano.</p>",A2,3697864,35,Z4725828,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,I2,,473,,,,Other,Foreign Language
ART,"",B2,3740721,17,J4774870,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,Below N4,I-NE,4428,,,,Traditional classroom,Foreign Language
ART,"<p>Hola^ yo me encanta el arte. Hay mucho cosas que puede expresar. En primer lugar^ siempre hay color que va con el tono del arte. Me encanta los imagneses naturales y los fotos que significado en la vida de una persona. </p>",B2,3740733,17,C4774882,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,N4,I-SE,4490,,,,Traditional classroom,Foreign Language
ART,"<p>Hola los estudiantes de Madrid! En el pueblo de Trumbull^ tiene mucho arte de los personas. Los personas crean el arte son muy talentosos^ y me encanta el arte mi pueblo tiene. Yo en la escuela secundaria^ o Trumbull High. En mi escuela^ tiene muchos ejemplos de arte en el edificio. Yo no dibujo o pintar bien^ pero mis amigos son buenos pintores y mi celoso a mis amigos. Mis amigos pintan pinturas bonitas. Por ejemplo^ mi amiga Ally pintan una pintura de mi gato. Me encanta su pintura mucho! Mi gato es muy guapo en la pintura^ y ella recibió un buen nota durante el arte competencía. Tambien^ en mi pueblo^ tiene muchos musicos. Por ejemplo^ mi padre tocar el guitarra. Mi padre tocar el gutiarra por muchos años^ porque mi abuelo da un guitarra para su cumpleaños cuando él trece años. Adémas^ mis amigas cantan bien. Ellas es en un grupo de cantar^ y me gusta los vozes mucho. Ellas son buenas cantadores. Para mi^ prefiero el arte de música^ porque me gusta ir a los conciertos con mis amigos y mi familia y me gusta escuchar la música tambien. En octubre^ mis amigas se llaman Megan^ Grace^ Avery^ y Ally irán al concierto en Madison Square Garden en Nueva York. Tiene mucho arte en mi pueblo^ las ciudades^ y muchos lugares en los Estados Unidos^ y son bonitas! ¡Disfruta! </p>",B2,3425332,24,G4428449,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I1,I-SE,2278,,,,Traditional classroom,Foreign Language
ART,"<p>En Cumberland^ no tiene una museum de arte. yo le gusta arte pero va a 20 minutos a ve el museum de arte. El arte es muy bonita y unique. En mi escuela tiene mucha artistas y la estudiantes mirra el trabajo. hay una mucha arte en el escuela. yo le gusta el arte con mucha coloras. </p>",B2,3685235,20,E4711662,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,N4,I-MM,473,4428,,,Traditional classroom,Foreign Language
ART,"<p>Arte en mi ciudad es un gran parte del cultura y mi communidad. Hay muchas tipos de arte en mi communidad pero specificamente dos tiene una gran parte del cultura. Primero tenemos grafiti. Este queda en la corazon de la ciudad en los edeficios viejas. Algunas piensan que grafiti es vandalismo pero no estoy de auqerdo. Pienso que es muy bonita y representa la cultura y los problemas en socieidad. La otra tipo es arte de moderno. Este tambien es muy controvercial porque hay muchas personas que piensan que ve muy desorganizada con no segnifica. No pienso que esto porque arte de todos tipos tiene una segnifica y tambien el arte es muy raro y por eso es mi tipo favorito de arte.<br></p>",B2,3655553,1,H4678816,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,4212,,,,Traditional classroom,Foreign Language
ART,"<p>Mi escuela tiene muchas tipos de arte. Por ejemplo^ mi escuela tiene muchas tipos de arte y me gusta es fotographia porque tu lleva una foto de muchas interesantes objectos y personas en la momento . Para mira arte en mi escuela visita el profesor de arte porque mi profesor de arte conoce mucho de fotographia y otras metodos para tomar buenas fotos. En otras palabras^ arte en mi escuela es muy importante porque es un buen opción para estudiantes para expresivo la creatividad en los vidas. En adicion^ mi escuela tiene muchas clases y clubes de arte para los estudiantes. En otras manos^ mi escuela tiene otras formas de artes^por ejemplo^ artes de musica con banda^orquesta^ y coro. Personalmente^ yo participo en la banda en mi escuela y yo jugo un trombone. Las artes de musica en mi escuela es muy interesante porque tu aprendes mucha musica y tu playa en muchas conciertos con tu familia en la audencia. En conclusion^ mi escuela conoce arte es muy importante en estudiantes vida para creatividad.</p>",B2,3740409,15,Z4774558,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,140,,,,Traditional classroom,Foreign Language
ART,"<p>¡Hola estudiantes de Madrid! Soy Connor^ y bienvenidos a Mahwah. </p><p>En Mahwah^ son muchos lugares a ver arte belleza. Un ejemplo es el Mahwah Museum o en las clases de la escuela (los estudiantes crean arte belleza en clases de arte).  Un otro lugar a ver arte es los edificios con el arte de graffiti. </p><p>Mi tipo de arte favorito es los dibujos realismos. Es muy impresivo como las personas y las estudiantes crean dibujos similar a personas en la vida realismo. Este arte es muy divertido a ver. <br><br>Soy muy feliz para tus estudiantes a ver Mahwah y nuestro arte. ¡Hasta pronto!</p>",B2,3740425,35,P4774574,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,,140,4294,,,Traditional classroom,Foreign Language
