,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam,MachineScore
0,ACTIVITIES,<p>Holá^ </p><p>Como estas? Mi nombre es Joshuah y yo vivo aqui^ en Estados unidos. Nosotros^ tenemos un año escolar que empieza a finales de Agosto y termina a principios de Junio. Significa que tenemos casi 3 meses para el verano^ durante ese tiempo podemos hacer lo que no gusta. Si es descansar^ ver la television^ ir a la playa. No se si haz escuchado de los campamentos de verano^ pero aqui son muy populares. Usualmente son para edades de 6 - 12^ yo nunca e ido a ningun campamento pero escucho que son muy divertidos. Como nosotros vivimos en la costa Este^ vivimos no muy lejos de la playa. Muchos compañeros mios dicen que es su lugar preferido para pasar el verano^ a mi personalmente me gusta ir a la playa pero no para meterme en el agua^ prefiero sentarme en la arena o caminar por las tiendas alli. En el 4 de Julio celebramos un dia festivo^ la historia del dia fue en 1776 me paréce^ la constitucion de los Estados Unidos fue firmada. Donde you vivo^ tiran fuegos artificiales al cielo y es un espectaculo maravilloso. Es uno de mis dias favoritos en todo el verano. Luego en Agosto^ celebro mi cumpleaños^ aun no tengo nada planeado^ pero quiero hacer algo que valga la pena^ y no quedar me en la casa. Tienes alguna sugerencia para mi? Para mi el verano es un poco aburrido aun con todas las cosas que podemos hacer. Y tu^ como es tu año escolar^ que haces durante tus vacaciones. Juegas? Viajas? Cuentame!</p><p>Attentamente^ Joshuah Gomez</p>,A2,3744600,73,H4781318,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,I4,,3768,171.0,,,Traditional classroom,Foreign Language,2021-06-23,N-MF
1,ACTIVITIES,<p>¡Hola mi amiga! Quiero responder a su pregunta pero no tiene mucho informacion para esta. Pero pienso que tiene un poquito y puedo hablan de esto. Durante el verano yo estoy en un equipo de nadar que estan cerca de mi casa. Participan en esto con mis amigas Sam y Finola. Es muy dificil y muy frio pero mis amigas crean una lugar divertido. ¡Un dia cuando nadando mis amigas y yo encuentran un animal pequño en la agua! Esto son muy loco pero en el fin todo estan bien porque el animal no muerte y yo obtener una bien historia. Un otra cosa que yo participan en es que yo estoy un volentario y yo trabajo con niños pequeños. Esto tambien es mucho trabajo pero es muy divertido para mi porque me gusta mucho los niños. Pero este trabajo tienen la possibilidad para ser muy divertido porque en otros lugares personas que trabajan en esta manera obtener dinero y esto es muy diferente de la lugar que yo trabajan en. Una problema de esta trabajo es que estan afuera y es muy caliente durante el verano aqui. Que interesante^ practicando para mi equipo de nadar es frio y mi trabajo con los niños es caliente. ¿Que hacen durante el verano en la lugar que tu vives?</p><p><br></p>,A2,3744609,52,X4781327,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,I3,,4415,,,,Traditional classroom,Foreign Language,2021-06-23,N-MF
2,ACTIVITIES,<p>Hola!</p><p>En vierno disfruto nadar en la playa con mis amigas! Especificamente^ vivo cerca de la playa de Rehobeth en Delaware. Esta playa tiene muchas personas asi que es mas o menos estresante pero el oceano es muy lindo y refrescante! Tambien^ cuando estoy en mi casa^ me gusta leer y cocinar con mis hermanos. Mi genero de libros favorito es misterio! Hay tienda de libros en mi comunidad que tiene muchas libros interesante y fascinante. Entonces^ me gusta cocinar la comida de coreano y chino. Especificamente^ cocino arroz frito y sopa picante! Pero no tengo muchos tiempos leer^ nadar^ o cocinar porque trabajo a Walgreens cerca de mi casa. Sin embargo^ disfruto trabajar porque trabajo con mi amiga de escuela. </p>,A2,3744621,52,Z4781339,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,I4,,3543,,,,Traditional classroom,Foreign Language,2021-06-23,N-MF
3,ACTIVITIES,<p>Hola Mi amigo^</p><p>El verano es muy caliente en America. Yo juego en la playa con mis amigas porque tienes muchas tiempre. Yo tambien dormio mucho porque no tieno escuela y tareas.  Yo tambien juego football en mi communidad. Tieno un amigo muy bueno a football. Tambien^ yo como mucho gelado porque es caliente afuera.</p>,A2,3744633,27,L4781351,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,I1,,4415,,,,Traditional classroom,Foreign Language,2021-06-23,N-MF
4,ACTIVITIES,<p>Dear penpal^ </p><p style=|text-align: left;|>Yo vive en la United states de America. Mis amigas y yo ir a la playa y natacion en la agua. Nosotros tiene mucho fiestas y enjoda la company de familia y amigas.  La no bueno part es returning to la escuela y tiene estuidamos. Estamos es  what summer es like en the Americanas.<br></p><p style=|text-align: left;|><br></p><p style=|text-align: left;|>                                                                                                                                                                     From tus penpal^ </p><p style=|text-align: left;|>                                                                                                                                                                            Keely</p>,A2,3745425,56,V4783875,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,N2,N-MM,4428,,,,Traditional classroom,Foreign Language,2021-06-23,N-MF
5,ACTIVITIES,<p>hola </p><p>soy no summer persona.soy stay in my casa. but maybe vacationes.</p><p><br></p><p><br></p><p><br></p><p><br></p><p>adoyose ^makaylen </p>,A2,3745429,17,Y4783879,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,Below N1,N-NE,4294,,,,Traditional classroom,Foreign Language,2021-06-23,N-MM
6,ACTIVITIES,<p> yo voy mas ala palya con amigos familia apasar un vuen rato de familia y algunas veses vamos al campo a cosinnar una carnita asada. Este julio vamaos ir de vacaciones a Orlando Florida por unos 3 semanas o un mes. <br></p>,A2,3745433,41,E4783883,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,N4,,4294,3400.0,,,Traditional classroom,Foreign Language,2021-06-23,N-MF
7,ACTIVITIES,<p>mi en mi familia viaja Flordia. </p>,A2,3745441,23,G4783891,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,N1,N-MM,4294,,,,Traditional classroom,Foreign Language,2021-06-23,N-SE
8,ACTIVITIES,<p>En el verano^ mis amigas y familia vamos afuerra a para juegar. Algunas veses vamos a la playa para divertinos. Otra veses nadamas me quedo en la casa limpiando para quando mi mama viene de la casa ella no se estressa viendo una sucia casa. Pero en todo cuando yo paso mi verano en realidad yo no ago tanto.</p>,A2,3745445,20,Y4783895,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,I4,,249,,,,Traditional classroom,Foreign Language,2021-06-23,N-MF
9,ACTIVITIES,<p>Mi et mi familia juegan.</p>,A2,3745465,9,X4783915,Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ,N,1,N1,N-MM,4294,,,,Traditional classroom,Foreign Language,2021-06-23,N-SE
