Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id
ART,"<p>¡Hola a los fanaticos del arte!</p><p>Soy Katerine y soy de Virginia norte^ y me gustaría hablar sobre el arte en mi pueblo.</p><p>En mi escuela^ hay muchos tipos del arte en el cuarto de arte y afuera. Mis maestros les gusta enseñar a las estudiantes ser creativos y amable a otras artistos. En todos lugares de la escuela^ muchos maestros te preguntan que su arte favorito. Cuando respuetan^ es importante a pensar de los tipos del arte^ como música^ las pinturas^ y las esculturas. Por ejemplo^ le digo que me encanto del mural en la afuera de la escuela. Los colores y pinturas son la representación de los estudiantes y las vidas^ y el mural es similar del mural en el centro del pueblo.<br></p><p>Este forme de arte es muy interesante porque los artistes haciendo más pinturas cada año en junio. Por muchos años^ cada diez y siete de junio^ los estudiantes de mi escuela hacen arte hermoso^ y la tema del arte es diferente cada año. Personas del muchas lugares en el mundo viajan al pueblo para ver el mural. El año pasado^ la tema era el océano^ entonces los artistes tendró los cosas necesarias para hacer la scena. Mientras los artistes trabajan^ las personas de las tiendas local traen los productos para vender a las touristas^ para pasa el tiempo. Finalmente^ en la noche^ el mural es completa y los artistes levantanse en frente del mural para el foto. Yo prefiero el mural porque cuando las personas del pueblo trajabando juntos^ todas personas tienen una sonrisa.<br></p><p>Gracias y el semana siguiente^ te diría sobre el músico del mi pueblo y porque me encanta. ¡Adios!</p>",B2,3719219,1,S4749562,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,I-MF,4294,,,
CLUBS,"<p>Hola Señora Hernandez^</p><p>Mis amigos en la escuela y yo queremos dicir que queremos empezar un club del cantar. Es necesario que tenemos la permisión de </p>",B2,3719219,1,S4749562,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	",A,1,I4,A-SE,4294,,,
COMMUNICATIONS,"",B2,3719219,1,S4749562,"In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.",A,1,I4,A-NE,4294,,,
DAILY_SCHEDULE_ROUTINE,"<p>Hola Pablo^</p><p>Estoy trabajando en mi proyecto para la clase de estudies de social y necesito encontraruna persona que es de una país diferente. Yo pensaba que me dices sobre tu vida en España^ porque tengo muchas preguntas para ti. Así^ mis preguntas son-<br></p><p>¿Cuántos dólares están en un euro^ y hay lugares donde una persona ayudaría con mi problema? En los Estados Unidos^ hay las personas a las tiendas que vender ropas y zapatos. Es necesario que la persona cambie su dinero si buscando para una cosa a comprar. ¿Hay muchas tiendas en su pueblo^ o tu y tus amigos van a las casas después las clases? Tambien^ ¿cuántos años tienen cuando ellos entran la escuela de grado? Aquí^ tenemos cinco años antes la entra de la escuela para la vez primer^ pero yo sé que es diferente en los países de Europe. Cuando despiertate^ ¿qué es la cosa primer que haces en la mañana? ¿Y qué las cosas que haces al fín de tu día? Finalmente^ ¿eres contento? ¿Por qué o por qué no? Es muy importante que estan felíz^ entonces yo pensaba que el definición de felíz para ti en tu país.</p><p>Gracias^</p><p>Katerine</p>",B2,3719219,1,S4749562,"You are working on a project for your Social Studies class about the differences in schedules for teens around the world. You decide to write to your penpal in Spain to find out more about his weekly schedule.Write an email to your penpal. Ask him lots of questions to learn about what he does each week. Ask him about his school schedule and other activities that he does regularly.",I,1,I4,I-MF,4294,,,
CITY_TOWN,"<p>Tu ir al centro y comer en la noche es bonita.</p>",A2,3745311,22,J4782947,"A teacher from Guadalajara will be visiting your school. He will be in town for only 3 days. He wants to visit interesting places in your town. Write an email to the teacher^ including appropriate greeting and closing to your message. Provide information about things to do in different^ popular places in your town. ",N,1,N4,,4294,,,
COMMUNICATION,"<p>En mi escuela el popular presentacion es PowerPoint en la computadora.</p>",A2,3745311,22,J4782947,"A new Spanish exchange student is nervous about giving his first oral presentation in class next week. He wants to know about student presentations  in your school.Write him an email telling him about the different types of presentations students make in class and what they are like.",I,1,N4,I-SE,4294,,,
FAMILY,"<p>Hola mi amigo^ en mi casa es mi papa su nombre^ Jessiah^ y mi hermanas su nombre^ Jacodi. Nosotros tocar fuera de en el dia. </p>",A2,3745311,22,J4782947,"An exchange student from Buenos Aires is going to be staying with your family for two weeks over the summer. He wants to know more about your family and your home.Write a letter to the exchange student. Tell him about your family members and where you live. Give your family members’ names and ages^ and write a short description of them. Be sure to use an appropriate greeting and closing in your letter.",N,1,N4,,4294,,,
POP_CULTURE,"<p>En escuela TikTok es popular porque es adictivo y creativo.</p>",A2,3745311,22,J4782947,"Your pen pal from Barcelona wrote you a letter and describes the toy^ |Fidget Spinner^| that is very popular in her school at the moment. It is very distracting^ but everyone loves it. She asked you to tell her about something that is very popular in your school or community right now.Write an email in Spanish to your pen pal and describe something that is very popular in your school or community at the moment. Describe it with as much detail as you can and explain why you think it is so popular.",I,1,N4,I-SE,4294,,,
FAMILY,"<p>Hola Maria^</p><p>¡Gracias por tu nota! Estoy triste que tu no puedes visitar^ ¡pero puedo hablar sobre mi familia y la familia de mis amigos por horas! Así^ haría sobre mi famila a ti.</p><p>Mi familia y yo estan enomorado de deportes! Especialmente^ nos gustan fútbol y béisbol. A veces^ nos gusta ir a los juegos^ pero cuando queremos^ es muy importante que salimos con las ropas correctas. Por ejemplo^ es necesario que llevar un chaqueta cuando estás a los juegos^ si es frío. Pero cuando mi familia y yo queremos mirar el juego en la televisión^ llevemos las ropas que son comfortables y yo querería tener una quilta. En todos^ es muy importante a mi familia y yo que miramos los deportes favoritos^ y fútbol y béisbol estan los deportes favoritos por mi familia.<br></p><p>Otras cosas que las familias de mis amigos le gustan hacer incluye comer la cena^ porque en los Estados Unidos nos gusta la cena muy grande. Hay muchos tipos de los restaurantes con toda comidas diferentes. Después la cena^ los niños pueden jugar los juegos de fútbol y béisbol^ que mi familia y yo nos gustan^ en los parques mientras los relativos hablando mucho. Es muy divertido a mirar los niños jugar^ hasta ellos empezan gritar o llorar. Pero por el fín de la noche^ todas personas están contento y los estamagos son lleno del comida delicioso.</p><p>Finalmente^ porque los Estados Unidos son grandes^ muchas familias le gusta hacer los viajes en estados diferentes. Por ejemplo^ el lugar favorita de mi mamá es el costa del Florida porque el agua es muy azúl y hay muchos restaurantes con la comida del sur. Cuando estoy en el carro^ las platos del otros carros leería el nombre del su estado^ y entonces yo recuerdo que estoy en Virginia norte^ y muchas familias salen de los estados diferentes a ver Washington^ D.C.</p><p>Es muy divertido en los Estados Unidos cuando las familias conoczen las actividades. ¡Me gustaría para ti a visitarme en Virginia! Ahora que te diré sobre la vida de las familias en Estados Unidos^ ¿puedes me dices el vida de las familia de tu país? Creo que quiero ir al tu país durante esta verano :)</p><p>Ciao^</p><p>Katerine</p>",B2,3719219,1,S4749562,"Your penpal from Spain wrote you an email. She wants to know more about family life in your country.Write an email response to your penpal in which you describe how you or others spend time with family. Tell her as much as you can about the kinds of activities people enjoy doing together as a family.",I,1,I4,I-MF,4294,,,
FAMOUS PERSON,"",B2,3719219,1,S4749562,"Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.",A,1,I4,A-NE,4294,,,
