Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id
ACTIVITIES,"<p>Buenos Dias^<br></p><p>En el verano los estudiantes salen a pasiar^van a nadar^al parqe^ay a comer el helado.Y se van de vaccaciones afuera del estado a ver a su famailia.Unos se quedan en la casa y no salen^pero unos salen y desfrutan el verano.</p>",A2,3708401,20,V4738493,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N3,N-MF,3400,,,
ART,"<p>esta tarde se estara exiviendo varias artes en la main st </p><p>pueden hacer figuras o lo qu sea pero con hielo</p><p>me gusta el arte con hielo porque se puede ver el interior y puedes ver como se derrite </p>",B2,3708491,19,X4738583,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-MM,3400,,,
ART,"<p>Aqui en willimantic hay mucha arte por las escualas y tambien por el pueblo^ por ejemplo aqui en la escual windham high todos los pasillos estan pintados o tienen murals^ son tan bonitas y expressan mucho^ como la pasion de su arte^ el amor^ terror^ y mas^ tambien por el pueblo por jilson square hay un mural giante que dice WILLIMANTIC por toda la pared^ tambien el puente de las ranas se podria poner en la categoria de arte porque el puente tiene ranas hechas de copper!</p>",B2,3708416,53,R4738508,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,I-MF,3252,4281,,
ART,"<p>Hole Estudiantes^</p><p>En Nueva Canaan^ donde yo vivo es mas trabajo del arte. A mi me encanta arte Y yo pienso que la arte en Nueva Canaan es mas buneo. Mi escuala tienen mas arte pero mejor de la arte es hacén de los estudientes. Pero a veces los estudientes son mas fantastican a la pinta. Cuando yo era en entre escuala yo pinte mucho y yo era muy bueno. Me gusta pintar Y yo estudie un poco del la hostoria de arte este ano. Yo estudie mucho de los artistos y por que ellos pintan. Mi artisto favorita es Picasso^ Picasso tienen un estilla que muy naturelza Y geometrica. Yo era muy interesa en Piccasos estilla y yo querría pintar como Picasso pinté En Nueva Canaan no tienen un Picasso pero un poco personas pintan muy bonita. Yo pienso que ellos encantará la arte de Nuva Canaan y yo soy muy faliz que ellos viren aqui.</p><p>Adios Estudiantes^</p><p>Miquelito</p>",B2,3705019,13004,H4734347,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I5,,3252,,,
ART,"<p>No hay mucho arte en mi ciudad^ ¡pero es mucho arte en mi escuela!</p><p>En frente de el biblioteca^ tú encontrarás muchas photografias de los estudiantes de Tolland High School. La clase de photografia tomarlos photografias de la naturaleza^ las personas en el ciudad^ la arcitectura^ los estudiantes^ y las maestros. </p><p>Tambíen^ en los pasillos son muchas pinturas en display para la gente. Frida Kahlo^ Van Gogh^ Claude Monet^ y Salvador DalÍ tienen arte en los pasillos. Es mi favorita parte de mi escuela porque mi favorita tipo de arte es las pinturas grandes y muchas bellas y magnificos. A mi me gusta los pinturas de Dalí porque son surrealismos^ contemporarios^ y tiene mucho tiempo a crear. </p><p>Hay muchos sculpturas en mi escuela. En el Language Lab^ son dos sculpturas de los hombres hacen los instrumentos. Un hombre tocando la guitarra y el otro tocando un saxophone o trumpet^ no sé cual. </p><p>¡Finalmente^ mi escuela tengo MUCHO pottery! En el pasillo de arte es mucho pottery en display. Hay mugs^ cups^ sculpturas^ y tiles. Mi favorito es un pitcher^ es decorado con muchas floras y colores. Mi favorito clase de Tolland High School fue Pottery. A mi me gusta la maestra^ Ms. Roe^ y mis amigas y yo tenemos un buen rato con la clay y la glaze. </p>",B2,3735211,59,A4766883,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,,3400,,,
ART,"<p>¡Hola estudientes! Bienvenidos a nuestra clase. Esperamos que ustedes les guste su viaje hasta que ahora. Quiero decirse sobre el arte de nuestro pueblo. Mucho de nuestro arte está en el museo afuera de la escuela. Es tan grande como la escuela cual es grandisimo. Nosotros habíamos ponido el arte en este museo por veinte años entonces hay muchas tipas de arte alla. En el musea hay cuatro secciones de diferentes tipas del arte. Primeramente^ hay el caudro de surealismo cual es mi favorito porque me encanta los pinturas estrañas. Próximo es el cuadro de baraco. Tercer es el cuadro de cubismo con artistas como Pablo Picasso. Finalmente es el cuadro de sculputras. ¿Qué tipas de arte están su favorita? No puedo esperar para ver ustedes y mostrar nuestro museo. Ojalá que se divertan.<br></p>",B2,3735865,45,J4767702,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,A,,4174,,,
ART,"<p>Sies de Junto^ 2021</p><p><br></p><p>La arte mejoria en mi communidad es en mi escuela. Para la escuela^ Tenemos un competicion para la arte. En mi escuela^ La arte es en todos classes y salas. Mi arte favorito^ es la arte de los estudiantes. Me gusta la arte creativo y que usar tu imaginacion determinar la mensaje . Un estillo de arte que yo preffiere es la arte abstracta^ y muchos estudiantes son muy buen al esta estillo.</p>",B2,3740625,16,E4774774,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,,4314,4490,143,3444
ART,"<p><span style=|font-size: 1em:|>Hola Estudiantes^ </span><br></p><p>Bienvenidos a Nueva Canaan! Espero que su viaje estuvo divertido y facíl! Me entere que les encanta en arte^ entocnes al siguir leyendo van a poder saber donde esta el mejor arte en Nueva Canaan^ que tipo de arte tenemos^ donde quden encotar arte de los estudiantes de este pueblo y como llegar! </p><p>El primer mueso esta directamente en el pueblo (13 West Elm Stree^ New Canaan Ct). Este mueso se llama El Mueso De Nuesto Pueblo Chiquito. Aquí puedes encontar por la mayor parte arte moderno y contemporanio. Puden hacer un tur guiado entre las horas de ocho a doce o pueden caminarlo solos entre las horas de ocho y cinco de la tarde. Este es mi mueso favorito porque mi arte favorito es el arte moderno. </p><p>¡El segundo mueso se llama El Mueso De Waveny Park! Este es un puedo que esta en la mitad de el parque de naturaleza (65 Waveny Park). Este mueso es muy interesante porque tiene arte que representa la historia del pueblo de muchas epocas diferentes. Este mueso es mas academico y mas grande. Para entar a este mueso necesitas comprar pasajes un día antes y solo dan tures guiados el cual les diran horas disponibles!<br></p><p>Finalmente^ Nueva Canaan tiene muchos estudiantes llenos de talento entoces tenemos un exhibicion de arte solo echo por estudinates. Aqui vas a encontar arte echo por estudinates de nuesto colegio publico y muchos tipos de arte diferentes. Algunos tipos de arte pueden ser^ dibujos^ ceramica^ fotogrfÍa^ arte con aguga^ y más. Como ustedes son estudinates de Madrid les recominedo que vayan a esta exhinicion para que comparen el arte de los estudiantes de Nueva Canaan con el arte que hacen ustedes en Madrid. Pueden contar ensta exhibicion en la liberia de la secundaría (125 South Ave) entre las horas de nueva a cuatro. </p><p>¡Espero que esto les haya ayudado y que disfruten del arte y talento que tenemos en Nueva Canaan! Si tienen preguntas llamen a 203-888-9765.  </p>",B2,3736308,43,M4768278,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I5,,3400,,,
ART,"<p>Mahwah teinen mucho artistas y mucho bellaza art. La escuala teinen mucho nuevo arto para estudeantes para classes de arto. La museo en Mahwah teinen mucho arto de town y historia. En mi opinion yo gustar la art en la escula por que yo gustar mi amigos arto Y la arto en la escuala es teinen mucho colors y es abstracto mi faviortita. </p>",B2,3740609,24,X4774758,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,,4314,,,
ART,"<p>Mucho arte en Mahwah es una arte section en la escuela. Muchos estudiantes arte es pone para otros estudiante mira arte hace para personas en usted anos. En mi opinion^ mi favorito arte es pinturas porque es muy bonita cuando una persona hace pinturas con otros person y cosas para no relamente con muchos detailes. Pinturas para relamente imagens es espicalmente intresante porque es muy importante para detailes es perfecta. </p>",B2,3740633,18,J4774782,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,,4294,,,
