Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam
ACTIVITIES,"<p>Hola^ yo no hago mucho en el verano aquí en Texas^ pero tengo muchos compañeros que hacen muchas cosas durante el verano.</p><p>Algunas personas se van a la playa o lagos con sus familias y amigos para disfrutar el agua y el sol. A mi no me gusta ir porque las playas en Mexico estan muchas mas bonitas. Varios de mis compañeros como yo tomamos la opportunidad de poder tener un trabajo. Ahorita estoy trabajando en Sonic^ es un lugar donde puedes comprar hamurgesas^ pollo^ chillidogs^ y muchas bebidas. Tambien tomamos la opportunidad de visitar familia y amigos que no viven cerca de nosotros. ¡Todos hacemos algo differente pero todos nos divertimos!</p>",A2,3733695,32,H4764911,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I4,,3354,,,,2021-06-09
ACTIVITIES,"<p>Hola^</p><p>Durante el verano^ hace mucho calor donde vivo. Haveces^ salgo con mis amigos al parke^ al museo^ o tambien salimos a comer afuera. Hay parkes de agua tambien que los niños van para nadar. Como hace mucho calor^ muchos niños se quedan en casa para no salir al sol.  Tambien^ aveces mis amigos salen para ir a las tiebdas para irnos a comparar. En mi ciudad^ no hay mucho que hacer^ pero salir con amigos es muy divirtido para el verano.</p><p>Mucho Amor!</p>",A2,3743279,23,N4778720,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I4,,473,,,,2021-06-09
ACTIVITIES,"<p>In el verano nosotros no hacemos mucho in persona. Todos mis amigos huegan en los computadoras y hugamous con video huegos o mirando videos en la internet. Es muy caliente para salir afuera so yo seiempre hablo usando la internet para comunicar con mis amigos que estan muy lehos para visitar en persona. Nosotros hugamos montones de los mismo video huegos para que podemos commincar y para que sabemos que la otro esta haciendo todo la ves.</p>",A2,3708094,17,X4738174,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I1,,3543,4192,143,4350,2021-06-09
ACTIVITIES,"<p>Hola^ </p><p>Yo y mis companeros de clase lo que hacemos en el verano es ir al cine a ver pelicula es muy divertito cuando vamos todos. Tambien vamos para la playa para compartir un rato y cojer un poco de sol nos gozamos un mucho o nos vamos hacer deportes como por ejemplo volleyball^ basketball or baseball etc... . Tambien nos vamos a comer helado y despues nos vamos para el parque y hablamos un rato. Nos gusta ir para el rio tambien y guiar bicicleta por todo el vecindario. Tambien nos vamos a caminar por las montanas. Eso es todo lo que hacemos en el verano a donde yo vivo.</p>",A2,3707051,12,N4737038,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I4,,4294,,,,2021-06-09
ART,"<p>En donde yó vivó^ hay arte en todas partes de la ciudad. Hay arte callejera^ y hay museos de arte. </p>",B2,3697491,21,J4725397,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-MM,3888,,,,2021-06-09
ART,"<p> Cuandó estoy caminando a la tienda veo muchos tipos de arte callejero y tambien veo mucho arte illegal porque aay gente que pinta en lugares privados y no pueden </p>",B2,3697499,3,M4725405,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I3,I-MF,4141,,,,2021-06-09
ART,"<p>En mi escuela no hay mucho arte^ pero personalmente yo disfruto el graffiti porque es una forma de arte que generalmente usa muchos colores y animales que no son de fición. Veo más arte en la ciudad^ en la que vivo ahora^ ya que se está volviendo más popular.</p><p><br></p>",B2,3697517,12,N4725426,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-MM,4145,,,,2021-06-09
ART,"<p>Hola estas esperando el arte. Hay mucho arte en nuestra ciudad^ pero voy a decirte donde encuentrasd grant art. Hay un gran muesam de arte con mucho arte. Y tambien hay una exhibicion  de arte en un galeria. Mi favorito del arte es son las esculturas y las fotografias de Picaso. Es mi favorito porque es muy bian.</p>",B2,3358066,32,Y4356709,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-MM,3549,,,,2021-06-09
ART,"<p>Hola^ me encanta arte en mi comunidad proque hay muchas buenas luagres y artistas en mi pais. Aqui^ hay muhos artisas muy beunas yo ellos hacen arte increible. Me encanta ir a la escuela durante el fin de semana y mire a la arte los estudiantes hacen. Toda semana yo hago este porque es diferente toda semana. Mi arte favorito es arte abstarcta porque es tu decision sobre que el arte es sobre. Yo recomiendo que tu mires el arte a la escuela toda semana.</p>",B2,3664593,15,S4688969,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I5,,4138,,,,2021-06-09
ART,"<p>En nuestro escuela hay un gallaeria de arte cerca de los cuartos para arte. en estos aueles^ puedes ver mcuho arte de todos los estudiantes. Tambien^ cerca de la escuela^ hay una lugar como un mueseo donde ellos venden arte. Me gusta arte de pintar y tambien de estatuas. porque es el mas deficil para crear.</p>",B2,3664597,13,L4688973,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,,4294,,,,2021-06-09
ART,"<p>Arte en Madrid.</p><p>Nosortos vivÍmos en un lugar que tiene la mas bonita arte^ Madrid. La arte tiene muchos colores como rojo y negro y mas. La mas popular arte en Madrid es en los parques. Duramte navidad ellos pueden decoracciones en los arboles^ ellos los pueden todos los años. La arte en Madrid esta en todos los lugares. A veces Madrid mira un poco loco^ pero que es que hace la arte de Madrid mas bonita^ Cuando tu caminas en Madrid todos los personas esta feliz y dulce. Madrid es las mas bonita lugar de arte porque la arte y los personas.</p>",B2,3684600,45,W4710969,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,Below N4,I-NE,2278,,,,2021-06-09
ART,"<p>Estimado estudiantes de arte^ </p><p>       En mi ciudad de Waukesha^ Arte es mas importante para la comunidad. La Comunidad de Waukesha es muy divirtido y le gusta pintan muchas cosas y paredes de el ciudad. El ciudad le gusta las pintanas porque ese represente la comunidad y cuando nosotros creemos. La ciudad tambien tiene muchas sulptures y dibujas en la ciudad. Waukesha contra muchas personas differents para hacer eses sculptures y dibujas para recibir mas tipos de arte. El comunidad de Waukesha dijo |hola|^ y es muy feliz tu es aqui. Nosotros nos gusta tu pinta^ dibuja^ o hace una pisa de arte para represente tu y regala ese para loa comuindad. </p><p><br></p><p>sinceramente^ </p><p>Lexi </p>",B2,3684612,39,E4710981,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-MM,3354,4141,,,2021-06-09
ART,"<p>¡Querido amigo! </p><p>     Yo veia mucho arte en mi escuela y afuera mi escuela! Hay muchos la clases de arte en mi escuela para tomas tu. En school^ tu puedas tomas todas diferente la clase tipos. Las clases ser pinta^ color^ escribir^ etc. Afuera mi escuela^ hay todos personas que hacio arte y personas compramos y toman fue la casa. Yo prefer arte que es muy color y tiene diferente aspectivas. Yo me gusta veio todas arte porque arte es muy défil and yo no puedo hacio. Tiene divertido!<br></p><p>Espero verte pronta^ Cailyn.</p>",B2,3684604,45,A4710973,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,N4,I-SE,140,,,,2021-06-09
ART,"<p>¡Hola!</p><p>¡En Waukesha hay mucha arte! La más popular es los guitaras de Les Paul. Les Paul era un musicion de Waukesha y los estudieantes en Waukesha hacian guitarras en su memorial. Los guitarras son en Waukesha todos los lugares. En la escuela mi amiga Joelle y yo pintamos un guitarra muy interesante. La guitarra es azuel y blanco con flores. </p><p>Afuera de Waukesha hay el museo de arte en Milwaukee. La mueso tiene arte y es arte porque la museo afuera es muy bonita. En el museo mi arte favorita tiene muchas colores y es muy grande. De niña^ yo iba la museo mucha por escuela y por divertido. </p><p>¡Hay mucha arte a ver en Waukesha^ entonces vas afuera y  la buscas!</p>",B2,3684620,32,P4710989,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,,4192,,,,2021-06-09
ART,"<p>En el ciudad de Waukesha nostros tienamos mucho arte. Les Paul un musican usó vivir en Waukesha^ por Waukesha tiena mucho intrumentes grande en el ciudad. Tambían Waukesha tiena arte en el museo de arte^ el museo de Les Paul tiena musica^ histora^ y arte. </p><p>Entonces en el vierne Waukesha tienaba |Friday Night Live| cada viernes^ los calles no tienaban carros^ los calles tieniaban mucho personas. Ellos comiban dulce^ bebibamos^ y escuchaban la musica. La musica es muy differentes^ hay musica de pop^ montañas^ y muchuo musica. Tambíen los calles de Waukesha tiena mucho intrumentes grande tienan mucho color y arte por personas mirar.</p>",B2,3684644,56,Q4711013,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,,4341,,,,2021-06-09
