Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam
ACTIVITIES,"<p>Yo tengo 14 amigos de classe.Nosotros jugamos juegos tento como el Football Americano^lo jugamos en las mañana a las 7:00 en punto de la mañana.jugamos con catorce jugadores i cada equipo tendra 7 jugadores.Quando esta lloviendo afuera i ace frio nosotros jugamos en el gimnasio i jugamos el basketball^jugamos este deporte por 2 horas i luego vamos a comer pizza.Señora udsted me pondra decir lo que udstedes acen quando estan en el verano?</p><p>                                                                                                                                                                      Con mucho cariño-jose </p>",A2,3733779,41,N4764995,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N4,,2278,,,,2021-06-08
ACTIVITIES,"<p>Nosotros comemos nieve porque en Tejas hace mucho calor. Muchos tambien van a la playa^ lago^ o picinas para combatir el sol^ muchos especial mente van al lago adonde yo vivo porque hay un lago grande en mi cuidad y muchos llevan sus botes alli. A mi no me gusta estar en el sol entonces yo me gusta estar adentro jugando video juegos y liendo adentro.</p>",A2,3733771,32,A4764987,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I3,,4298,,,,2021-06-08
ACTIVITIES,"<p>í øívé íñ ßéáþþøé áñð þhíß íß øíœé bóáþíñg áñð fíßhíñg </p>",A2,3737197,20,J4769731,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,Below N1,N-NE,3888,,,,2021-06-08
ACTIVITIES,"<p>nosotros durante el verano hacemos muchas actividades por ejemplo yo juego mucho futbol salgo con mis amigos a lugares de comida y salimos a pasiar y a hacer muchas otras cosas divertidas</p>",A2,3737674,6,S4770274,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N4,,4141,,,,2021-06-08
ART,"<p>La verdad que no hay vastante arte en mi pueblo. Si hay uno o dos estudios de arte en donde puedes tomar clases y aprender como hacer arte. tambien hay algunos murales en el pueblo y en mi escuela. Se puede tomar clases de arte en mi escuela y tienemos muy buenos programas para continuar un carera en pintura^ dibujo^ cinemtaicas o musical. En un pueblo muy cerca a donde vivo que se llama Stamford hay mucho arte. La cuidad investa mucho dinero para pagar artistas para que puden poner pinturas y muchas esculturas por todo el pueblo. Tambien hay muchas edificios que yo considero arte arquitectual. <br></p>",B2,3578235,12,F4592890,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I5,,4495,,,,2021-06-08
ART,"<p>Hola mis amigos! En este section de Arte de Rachel^ habla a los aspectos differentes de arte. Mi arte favorito es arte de Picasso. Me encanta este tipo de arte porque tiene primer y segundo planos^ obscuro^ y colores muy interesantes. El arte de Picasso tiene metaforas de la vida^ amor^ y muerte y pienso que es muy impactante. Ese em mi genero favorito de arte^ pero dejame hablarte del arte en mi ciudad. En la nueva Canaan^ mi ciudad^ puedes ver arte por todas partes de la ciudad. Pero^ en la instuticaion de arte^ hay arte hermoso. Also de este arte son pinturas^ dibujos^ y tamboen fotografias. Los artistas son  yo en su maypria estruiantes locales^ por lo que no son bien conocidos^ pero son importantes. Prefiero las fotografias en este instituto de arte porque capturan un momento en tiempo que es hermoso. Los colores son calidos y tienen azul brillante. el oceano representa el amor y la paz^ y me encanta este tipo de arte. Veras mucho de este tipo de arte en Nueva Canaan. En mi escuela hay arte^ pero no mucho. Recomendaria buscar arte por la ciudad^ porque es en todos partes. La vida es arte^ y puedes hacer arte en cualquier lugar. Espero^ que te guste el tiempo aqui y abrazar la vida y el arte en la nueva canaan. </p>",B2,3578291,26,A4592946,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,I-MF,4138,,,,2021-06-08
ART,"<p>Me gusta arte que esta moderna^ arte que es un poco dificil a atender pero creo que arte como hezo puede dicir mucho sobre el artisto y el mundo.</p>",B2,3664633,8,C4689010,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-SE,4415,,,,2021-06-08
ART,"<p>hola en el ciudad de glen cove es muchos cosas buenas. tengo muchos tiendas para comprar y comer comidas. mi tienda favorita es el Polish Kitchen^ porque es ceraca de la escuela y los trabajadores crear sandwiches muy delisiosa.</p>",B2,3667980,4982,V4692692,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,N4,I-NE,3888,,,,2021-06-08
ART,"<p>En Northbrook^ ver arte en restaurantes^ escuelas^ y mas. En restaurantes^ son arte de comidas y familias comen. Es arte no tiene muchas colors^ generalmente son blanco y negro. Los estudiantes es muy creativo y ellos hacen los artes de escuela. Los artes es en todos de escuela y tiene muchas colors incluye azul^ rojo^ verde y anaranjado. Ademas^ arte de escuela es importante para estudiantes porque es arte de festivales en escuela. Los artes tienen informacion de actividades y festivales en escuela para estudiantes a ver. Yo prefiero los artes de escuela porque tienen muchas colors y es muy interesante para estudiantes. Ademas^ los colores es muy importante para arte porque con no colores^ arte es no interesante o attractivo. </p>",B2,3671060,50,T4696267,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,,4341,,,,2021-06-08
ART,"<p>¡Hola Clase!</p><p>¿Quieren ver arte en los Estados Unidos? ¡Pueden! Pueden ir al institute de arte en Chicago. Necesitan tener un poco dinero y traer comer y agua. I prefiero ver el arte abstract o arte de Picasso^ Monet^ y Di Vince. Esto es porque el arte de los artistas es famosos. Yo quiero ver la Mona Lisa en persona. Además^ pueden ver arte en unas escuelas.<br></p><p>¡Tener divertido^ Clase!<br></p>",B2,3671062,73,G4696269,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,I-MF,4443,,,,2021-06-08
ART,"<p>Titulo: ¡Bienvenidos!&nbsp:</p><p>¡Bienvenidos! Estudiantes de Madrid!  En AISG^ hay muchos tipos de arte. Hay grafito^ carboncillo^ pintura en aerosol^ pintura de óleo^ pintura de agua^ pintura de acrílica^ fotografía^ escultura^ arte 2d^ arte 3d^ arte digital y etc. Hay muchas piezas de arte de los estudiantes alrededor por toda la escuela. Antes de que nuestra escuela comenzar a reconstruirse^ los estudiantes pintaron con aerosol de los edificios. También fue un gran lugar para tomar fotografías. Cada estudiante de arte tiene que preparar sus portafolios tiene muchas opciones de arte que para presentar sus ideas. Mis tipos de arte favoritos son la pintura al óleo^ la pintura arcílica^ la fotografía y el diseño.  Me gusta estos tipos de arte porque puede expresar emociones con mayor precisión. No solo usa la forma para expresar la idea^ también puede usar colores y objetos de la vida real. Sin embargo^ el diseño es más diferente de los tipos de arte. Me gusta este tipo de arte porque puede crear cosas nuevas.  No es realidad pero esto puede hacer realidad. Creo que a los estudiantes de Madrid les gustará el arte AISG.</p><p style=|text-align: right:|>Estudiante de AISG^</p><p style=|text-align: right:|>Choi Yan Luo</p>",B2,3680683,27,B4706532,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I5,,4428,,,,2021-06-08
ART,"<p>En mi ciudad^ en la calle principal^ siempre hay un banco pintado. mi tipo de arte favortieo es la musica. me encanta tocar piano y escuchar musica </p>",B2,3676267,14,L4701822,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-MM,4519,,,,2021-06-08
ART,"<p>En nuestro ciudad de Denver^ el lugar que tiene la colección de arte más grande es el Muséo de Arte. Allí tienen un poco de todo^ incluyendo una exposición especial que cambia después de unos meses. La última vez que visité el muséo fue cuando esa exposición presentó la vida y las obras de van Gogh. Aunque prefiero el arte surrealísta por lo misterióso que es^ todavía pasé dos o tres horas allá y me pareció increíble. Afuera del muséo^ tambien tienen bastante arte en la calle. Hay murallas en la paredes por muchas partes de la ciudad^ y^ aunque no está en un lugar más oficiál como las obras del muséo^ realmente son bonitas. Nuestra escuela tambien tiene un edifício especialmente para el arte. cada mes^ un grupo de estudiantes (de arte) presentan sus obras finales^ antes que se graduen. Es realmente un lugar especial donde toda la escuela puede reunirse para apreciar al arte y el trabajo de los estudiantes.</p>",B2,3414144,32,K4416337,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I4,I-MF,3354,,,,2021-06-08
